Tweet_ID,Language
1237166298104303618,en
1237166318220165122,en
1237166635217121280,en
1237166711406641152,tl
1237167014793236480,en
1237167296470122497,en
1237168034931814400,tl
1237168478081052673,en
1237168715063410688,en
1237168929484820480,en
1237169007662264321,en
1237169124934946816,en
1237169325766668288,en
1237169405642936320,tl
1237169624875020290,en
1237169974344470530,en
1237170136869515265,tl
1237170323184812032,en
1237170336505839616,en
1237170868465192961,en
1237171149810749440,en
1237171546155876353,tl
1237171821859880960,en
1237172121656266753,en
1237172550523711489,tl
1237173171142311936,en
1237173477846597633,tl
1237173514819391495,zh
1237173894571835392,en
1237173902654296064,en
1237174541152993280,tl
1237174573021270016,tl
1237174668785639424,tl
1237174992158130176,tl
1237175089126191105,tl
1237175176397074432,en
1237175256097402886,en
1237175462717059072,en
1237175476726067202,en
1237175492567957504,en
1237175570401640449,en
1237175691080347654,en
1237175840376360960,tl
1237175903177883648,en
1237175921397792769,en
1237176083545354241,tl
1237176104051326976,en
1237176302341435393,en
1237176366593748992,tl
1237176589554561024,in
1237177137150316546,en
1237177326439292928,en
1237177627728678917,en
1237177793131077632,en
1237178064200585216,en
1237178085335650304,en
1237178327955148801,en
1237178341372936193,en
1237178485195419648,en
1237178526119243777,tl
1237178538857336832,en
1237178564983664640,en
1237178752099999745,tl
1237178901622738944,en
1237178926524325888,en
1237179350279057409,tl
1237179442952208389,en
1237179487197913090,en
1237179488397475841,en
1237179533863739392,en
1237179546169794560,en
1237179612582608896,en
1237179738113761280,tl
1237179893772738560,en
1237180235231133696,en
1237180426109636613,tl
1237180449719382017,tl
1237180469655076865,en
1237180482296610822,en
1237180554572746752,en
1237180648957370368,en
1237180817056530432,tl
1237180867375558656,tl
1237180878368931840,en
1237180962779418630,en
1237181040667447296,en
1237181165049720832,en
1237181430368591872,en
1237181523427610624,en
1237181532487536640,en
1237181586304643072,en
1237181598040084480,en
1237181626267750401,en
1237181647281442816,en
1237181735441317888,en
1237181904681500673,en
1237181937006997504,en
1237181960461717505,en
1237182015209746433,en
1237182144746795008,fr
