"Var1","Freq","Percentage"
"English",12324605,0.599144593415712
"Spanish; Castilian",2933633,0.142614741082243
"Portuguese",2079520,0.101093151861649
"Bahasa",1240645,0.0603123381315861
"French",667248,0.0324373910293634
"Italian",298656,0.0145187718138766
"Tagalog",160177,0.00778679588835087
"Hindi",141055,0.00685720480488043
"German",132309,0.00643202942489755
"Turkish",117563,0.00571517187250475
"Catalan; Valencian",93169,0.00452928938687678
"Japanese",78214,0.00380227157214503
"Dutch; Flemish",74156,0.00360499719620512
"Thai",41478,0.00201639885786984
"Lithuanian",23797,0.00115686010947318
"Estonian",15487,0.000752880300685429
"Chinese",15065,0.00073236532122593
"Korean",14694,0.000714329640231917
"Finnish",11972,0.000582003161348612
"Haitian; Haitian Creole",11652,0.000566446778820082
"Urdu",11609,0.000564356389917811
"Tamil",9761,0.000474518280815553
"Arabic",8321,0.00040451455943717
"Swedish",8128,0.000395132116224651
"Czech",6689,0.000325177008541669
"Danish",6333,0.00030787053297868
"Slovenian",5884,0.000286042983743337
"Russian",5715,0.000277827269220458
"Romanian; Moldavian; Moldovan",5230,0.000254249626950655
"Vietnamese",3513,0.000170779911946014
"Marathi",3389,0.000164751813716208
"Hungarian",2595,0.000126152539567294
"Norwegian",2015,9.79565962343345e-05
"Persian",1924,9.3532749952784e-05
"Nepali",1819,8.84283119356102e-05
"Polish",1797,8.73588106367738e-05
"Icelandic",1211,5.8871185131404e-05
"Ukrainian",1191,5.78989112233709e-05
"Gujarati",1145,5.56626812348948e-05
"Telugu",1011,4.91484460510731e-05
"Kannada",822,3.99604576201603e-05
"Malayalam",723,3.51477017753965e-05
"Latvian",676,3.28628580915187e-05
"Bengali",650,3.15989020110757e-05
"Greek, Modern (1453-)",619,3.00918774536244e-05
"Oriya",461,2.24109135801629e-05
"Serbian",431,2.09525027181132e-05
"Panjabi; Punjabi",385,1.87162727296371e-05
"Basque",383,1.86190453388338e-05
"Welsh",357,1.73550892583908e-05
"Sinhala; Sinhalese",126,6.12532562060851e-06
"Bulgarian",100,4.86136954016549e-06
"Pushto; Pashto",61,2.96543541950095e-06
"Burmese",50,2.43068477008274e-06
"Amharic",38,1.84732042526288e-06
"Divehi; Dhivehi; Maldivian",19,9.23660212631442e-07
"Uighur; Uyghur",16,7.77819126426478e-07
"Sindhi",11,5.34750649418203e-07
"Tibetan",9,4.37523258614894e-07
"Armenian",7,3.40295867811584e-07
"Central Khmer",7,3.40295867811584e-07
"Lao",6,2.91682172409929e-07
"Georgian",3,1.45841086204965e-07
