Tweet_ID,Language
1227382733325897729,en
1227382733837500416,in
1227382735091617792,en
1227382736278523904,in
1227382740447846401,es
1227382745396940800,en
1227382746030448640,en
1227382747741618178,en
1227382748081319936,en
1227382748756627456,en
1227382749155201027,pt
1227382750958800896,en
1227382751529037824,zh
1227382752015572992,in
1227382754930610176,en
1227382755127808000,en
1227382757812129794,in
1227382760886558720,in
1227382760899317760,en
1227382761415155712,en
1227382768583106560,en
1227382772655935495,en
1227382773436108801,es
1227382773498793984,en
1227382773935157250,en
1227382774534942723,en
1227382775990276096,in
1227382776854433793,fr
1227382778565541888,in
1227382779173670913,en
1227382779853320193,en
1227382781342187522,en
1227382782537519104,en
1227382785242877952,en
1227382786173984768,en
1227382790204715008,in
1227382790775328774,en
1227382791588864001,zh
1227382795464531972,en
1227382796534140935,en
1227382801575677954,in
1227382802183794691,en
1227382802892484613,th
1227382802913669121,en
1227382804457164800,fr
1227382805878804480,in
1227382807070232576,en
1227382807170674688,en
1227382807258902528,en
1227382807472869382,pt
1227382813743308801,pt
1227382814955442176,es
1227382816838733825,en
1227382819539820545,en
1227382820055609346,en
1227382822421221376,en
1227382823767724032,es
1227382824958746624,en
1227382826795855873,ja
1227382826795859968,en
1227382827571765248,en
1227382831480889344,en
1227382836929318912,in
1227382837818642432,tl
1227382839756214272,en
1227382840188235776,tl
1227382843094880256,in
1227382843636113409,en
1227382848119803914,en
1227382848304418817,en
1227382849155678208,ja
1227382849420103680,en
1227382849638027264,en
1227382851034894336,en
1227382851055816710,fr
1227382851571781632,es
1227382855254335489,it
1227382856382636034,es
1227382857275969536,en
1227382857691209731,pt
1227382858873880578,en
1227382859658223617,en
1227382860048424966,es
1227382860580974592,en
1227382860782415872,pt
1227382862388744192,en
1227382866004320256,und
1227382876909359104,in
1227382877165244416,in
1227382877236736006,fr
1227382878960603145,en
1227382883616264192,en
1227382884459335680,in
1227382885575004161,pt
1227382885860200448,en
1227382886820528129,en
1227382889144152064,en
1227382889379024896,in
1227382891170222083,it
1227382892201832449,in
1227382892440977414,pt
1227382892789207042,en
1227382893145739264,es
1227382894693363712,en
1227382897713303553,pt
1227382899072217090,en
1227382905430736896,en
1227382906118602752,en
1227382908983349249,pt
1227382909851623424,en
1227382911223189504,en
1227382913114574848,in
1227382914352107521,ja
1227382914414891009,in
1227382919171317760,no
1227382920026845185,en
1227382920148549633,pt
1227382922874781696,en
1227382926616268800,en
1227382926800633861,in
1227382930261061632,en
1227382931624206336,en
1227382933335441408,en
1227382933486526464,en
1227382938469326851,en
1227382938934763521,en
1227382942311178240,en
1227382945238765571,in
1227382945289125888,in
1227382946425921537,en
1227382947336118273,en
1227382948288253954,en
1227382953786761216,en
1227382955145940993,es
1227382958069178368,en
1227382960464130048,pt
1227382966374031360,en
1227382968328560640,en
1227382968571711489,en
1227382973311389696,en
1227382974695591937,fr
1227382975022686213,en
1227382975844605953,en
