Tweet_ID,Language
1233182585238573057,pt
1233182585288785923,pt
1233182585293099008,fr
1233182585527754752,en
1233182585582276608,en
1233182585641164800,es
1233182585662197762,en
1233182585779630080,es
1233182585834086402,en
1233182586245005315,en
1233182586530217985,en
1233182586580676614,en
1233182586748514306,en
1233182587243433987,pt
1233182587574718464,en
1233182587826450432,en
1233182588241661952,pt
1233182588698648576,en
1233182588728217600,en
1233182588866461696,tl
1233182588916785152,in
1233182589130878977,en
1233182589197996032,en
1233182590602842112,pt
1233182591009906691,en
1233182591030906880,en
1233182591710367744,en
1233182591785820161,pt
1233182591844528128,pt
1233182592326828033,pt
1233182592373022722,pt
1233182593350238208,es
1233182593824235520,pt
1233182593849417729,en
1233182593916469248,pt
1233182593924898816,pt
1233182594315030529,in
1233182594348572673,es
1233182594356797441,en
1233182594415628288,es
1233182594524762112,pt
1233182594541506565,fr
1233182594675527683,in
1233182594717691905,es
1233182594843467777,en
1233182594847531008,en
1233182594881245185,cs
1233182595518738434,tl
1233182595812192256,en
1233182595913076736,es
1233182596001038338,en
1233182596051410945,pt
1233182596420587521,en
1233182596453978112,en
1233182596835598336,in
1233182596957376522,en
1233182597397831680,es
1233182597469147139,en
1233182597829799939,en
1233182598190395392,en
1233182598664343552,en
1233182598911975425,en
1233182599041953792,pt
1233182599314649088,en
1233182599696338944,es
1233182599826345984,pt
1233182600308645889,en
1233182600849743875,en
1233182601361461249,pt
1233182601373982726,en
1233182601814401024,en
1233182602166538241,en
1233182602279784448,en
1233182602640519169,en
1233182602741207040,pt
1233182602800107520,pt
1233182602913341443,en
1233182603022413825,pt
1233182603374518273,en
1233182603416657920,pt
1233182603848691712,en
1233182604305797120,en
1233182604494548999,es
1233182604561612803,en
1233182604616175616,pt
1233182605006254084,en
1233182605169897474,pt
1233182605253758977,in
1233182605304094720,en
1233182605740322816,en
1233182605920522240,en
1233182606331498496,in
1233182606516199424,tl
1233182606948102146,en
1233182607422214145,lt
1233182608269463553,en
1233182608663576576,en
1233182609364209664,pt
1233182609594867713,en
1233182609796034560,en
1233182733653991424,pt
1233182733767237632,en
1233182733880496128,en
1233182733930680325,en
1233182734853558272,en
1233182734908088324,pt
1233182734970834944,en
1233182734975197184,fr
1233182735151378436,pt
1233182735340097536,pt
1233182735700594689,en
1233182735860195330,pt
1233182736074100736,en
1233182736627765248,en
1233182737126903808,en
1233182737726611456,pt
1233182738326458373,en
1233182738431270912,en
1233182738905104384,en
1233182739131703301,en
1233182739148480512,en
1233182739286777856,es
1233182739421126656,pt
1233182739446325248,en
1233182739832213504,en
1233182740582993920,pt
1233182740650110976,es
1233182740914331649,pt
1233182741325283328,pt
1233182741824524289,pt
1233182742147366913,es
1233182742634008576,fr
1233182742705266688,en
1233182742952775683,es
1233182743019892737,en
1233182743279915008,en
1233182743288262656,pt
1233182744903065601,en
1233182745301528578,en
1233182746077548545,pt
1233182746081710083,en
1233182746182332417,es
1233182746979295232,pt
1233182747935625216,es
1233182747985895426,pt
1233182748015316992,es
1233182748304695297,pt
1233182748686217217,en
1233182748703182848,fr
1233182748841533440,en
1233182748845760514,en
1233182749122551808,pt
1233182749537730561,en
1233182750452125698,pt
1233182750611529730,pt
1233182750691221505,en
1233182751131566080,pt
1233182751890776066,pt
1233182751932723202,es
1233182752222126086,pt
1233182752306016257,en
1233182752419336202,en
1233182752457023490,en
1233182752603697153,en
1233182752670916609,en
1233182753987928066,pt
1233182754323472385,en
1233182754466123782,en
1233182754654900226,en
1233182754701021185,en
1233182755095228416,pt
1233182755120435200,pt
1233182755229327360,tl
1233182755745419267,fr
1233182755850092544,en
1233182756340932608,pt
1233182756626161664,pt
1233182756860985344,en
1233182757209202689,pt
1233182757897089024,pt
1233182758010269708,en
1233182759075577856,en
1233182759083966465,en
1233182759205720067,es
1233182759545380869,en
1233182760270872576,en
1233182760602394625,pt
1233182761130844160,en
1233182761860640768,pt
1233182762032603136,en
1233182762422751234,en
1233182762577694720,en
1233182762674335744,en
1233182763051835396,pt
1233182763500609537,en
1233182764549201921,pt
1233182764738007040,en
1233182765144662017,en
1233182765585248256,en
1233182765727801345,en
1233182896392941568,pt
1233182896652984320,pt
1233182896833339393,pt
1233182897089196034,en
1233182897227653120,es
1233182897517027328,en
1233182897579941900,en
1233182897600966657,es
1233182897735192579,en
1233182897810681856,en
1233182897827303424,en
1233182898574024706,es
1233182898888552450,en
1233182899106721792,en
1233182899123343360,en
1233182899366612993,en
1233182899622510600,pt
1233182899953897473,en
1233182899962306562,en
1233182900079779841,en
1233182900171837441,en
1233182900176269314,en
