Tweet_ID,Language
1227022204497465344,en
1227022204837101574,es
1227022209140457473,en
1227022209559879681,in
1227022209866174464,pt
1227022210738671618,en
1227022210885308416,und
1227022212336623616,pt
1227022212651085828,in
1227022213532061696,pt
1227022214177918977,en
1227022216920997889,en
1227022219462746113,en
1227022220389703681,pt
1227022220507086848,es
1227022222159642624,es
1227022222558027777,en
1227022222654689280,es
1227022224512577536,en
1227022224789508098,pt
1227022227822043141,pt
1227022228874760192,pt
1227022229801783296,es
1227022231622082560,en
1227022232712597504,en
1227022235610886145,pt
1227022236974026753,pt
1227022237984862215,pt
1227022240195190784,pt
1227022240539009025,en
1227022241751277568,en
1227022242128658432,en
1227022242296369152,in
1227022242367754241,en
1227022242581606400,en
1227022243634589696,pt
1227022246889295874,en
1227022247363104768,ja
1227022250173509632,en
1227022250186084353,en
1227022251465142272,en
1227022251645472768,en
1227022251893108737,en
1227022254216634369,en
1227022255130955776,und
1227022255483490304,it
1227022256053850112,pt
1227022256141950978,es
1227022256741736449,en
1227022257802878976,fr
1227022258088087553,en
1227022259480481793,en
1227022260109795329,pt
1227022261636431872,en
1227022261921542144,in
1227022262416658433,pt
1227022262735450113,en
1227022263196758018,pt
1227022264224428032,pt
1227022264773881860,en
1227022265595973632,pt
1227022266971480064,en
1227022267533664256,en
1227022267860779008,pt
1227022268393541633,en
1227022268703764480,in
1227022268750073856,pt
1227022269249134593,es
1227022269504991233,en
1227022269844803584,es
1227022271543308288,in
1227022271962898432,pt
1227022273606868992,in
1227022273804144640,en
1227022274076663808,in
1227022275058245632,en
1227022276140290048,en
1227022276715073536,es
1227022276983508997,pt
1227022278237528064,pt
1227022279797858305,it
1227022280225697792,es
1227022280355667972,lt
1227022281341169664,ja
1227022281655844870,en
1227022282595454977,en
1227022282905673728,es
1227022283270582272,en
1227022285237702656,en
1227022286634528781,en
1227022287037173760,en
1227022287620255744,fr
1227022287859310592,en
1227022288345686018,in
1227022288412913666,pt
1227022289528442880,en
1227022290178605056,en
1227022291378327553,en
1227022291588075520,en
1227022291839651841,es
1227022317676646402,pt
1227022319077351424,en
1227022319983439872,en
1227022320532959234,es
1227022320968929281,in
1227022321069830150,en
1227022321333833729,en
1227022321690595328,en
1227022325788430337,pt
1227022327021330432,en
1227022327424016384,en
1227022328061497344,in
1227022328480952320,en
1227022328938188800,in
1227022330494377986,en
1227022331429584896,en
1227022331605897218,en
1227022331819655168,en
1227022331945607169,es
1227022332218077186,in
1227022332574736385,en
1227022333401092097,pt
1227022334344736768,en
1227022335263363072,fr
1227022336412602370,pt
1227022336559341568,pt
1227022336991195136,en
1227022337335320576,pt
1227022338169823232,en
1227022338786353152,en
1227022339243683840,en
1227022341152092163,pt
1227022342162808832,en
1227022342171348992,pt
1227022345526792192,pt
1227022348336992256,pt
1227022349574254594,pt
1227022350907887616,in
1227022350920511491,en
1227022350924832768,pt
1227022352782962688,pt
1227022354083086337,en
1227022354636656640,ja
1227022354842341377,en
1227022356058693633,pt
1227022356121563138,en
1227022356222226432,pt
1227022356222300162,pt
1227022357220323332,in
1227022357308506112,pt
1227022358197755911,en
1227022360034906112,en
1227022360466706432,en
1227022361578205184,in
1227022362136252416,en
1227022364988198913,en
1227022365168734209,pt
1227022366087229441,pt
1227022366787567616,fr
1227022367076966400,en
1227022368184377344,en
1227022370419822593,en
1227022370470277121,en
1227022371288178689,pt
1227022371606933506,en
1227022373150494726,pt
1227022374232559617,en
1227022376795283456,en
1227022378644828162,en
1227022378837958656,en
1227022378988904448,en
1227022379714568192,en
1227022380696035335,en
1227022380721197061,pt
1227022381207547906,en
1227022381480382464,ca
1227022382453469184,es
1227022382675550208,en
1227022383183253504,pt
1227022383724126208,in
1227022384676274176,en
1227022384810643456,en
1227022386282713089,es
1227022386437988353,en
1227022386479947776,pt
1227022386781777921,en
1227022388472287232,en
1227022388878954501,en
1227022389910761477,en
1227022390514847745,pt
1227022390649065472,pt
1227022390712029187,es
1227022391815131140,pt
1227022392502956037,es
1227022393157263362,en
1227022393668861952,en
1227022394587435008,en
1227022394985996289,en
1227022396781137920,en
1227022397871513600,en
1227022432277553155,pt
1227022432961208320,pt
1227022434815135746,en
1227022437310771200,pt
1227022437394468864,en
1227022438002823168,pt
1227022438170382337,in
1227022439235903490,es
1227022439399464960,pt
1227022439697338369,en
1227022439999135744,in
1227022443065356289,pt
1227022444281712640,en
1227022445917417479,pt
1227022446823432192,en
1227022448652115968,pt
1227022451168559104,en
1227022451839819778,pt
1227022451898535938,en
1227022453714620418,pt
1227022453764972544,es
1227022453874053121,pt
1227022454008102913,in
1227022455128064000,pt
1227022455535001602,en
1227022455652454402,en
1227022456109641728,en
1227022456206118912,en
1227022457254633478,en
1227022458361798657,en
1227022459062358017,en
1227022459100180480,pt
1227022459242762243,pt
1227022459431522304,es
1227022459947438081,pt
1227022460077260800,in
1227022460920508416,pt
1227022460975042560,en
1227022463990628359,es
1227022464540172288,en
1227022465098035202,pt
1227022465244766208,en
1227022466763120643,pt
1227022468822523904,pt
1227022468826763265,pt
1227022468960751617,en
1227022469288034310,en
1227022469451653120,es
1227022469686427648,in
1227022470483410945,pt
1227022470525456385,de
1227022471104258049,pt
1227022471867588608,es
1227022473746665472,en
1227022473910259712,en
1227022474321301504,pt
1227022474866499587,en
1227022475457900545,en
1227022476632154113,in
1227022477383041025,pt
1227022478444257284,es
1227022478536474629,en
1227022478733692930,es
1227022480310702083,en
1227022482755989506,en
1227022483481669633,en
1227022484089819136,en
1227022484697833472,en
1227022485289414657,en
1227022485293600768,pt
1227022485381509120,in
1227022485461356545,pt
1227022486216282112,pt
1227022486518325248,es
1227022486568669184,es
1227022486849642497,pt
1227022486908424193,es
