"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","381164.458333333","295662.923729912","302415","9147947","All","24"
"2","Mar","383786.434782609","302022.434068884","283971","8827088","All","23"
"3","Apr","320859",NA,"320859","320859","All","1"
"4","All_M","66405.2916666667","50733.9023246305","60124","1593727","Org","24"
"5","Mar","66272.652173913","51869.8773905422","50792","1524271","Org","23"
"6","Apr","69456",NA,"69456","69456","Org","1"
"7","All_M","314759.166666667","245733.874668913","242291","7554220","RT","24"
"8","Mar","317513.782608696","250877.517101465","233179","7302817","RT","23"
"9","Apr","251403",NA,"251403","251403","RT","1"
