"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1717.19565217391","2617.91819428734","729.5","78991","All","46"
"2","Feb","1011.66666666667","67.8920712111019","999","3035","All","3"
"3","Mar","2340.16129032258","3000.089410854","1303","72545","All","31"
"4","Apr","284.25","140.779728008623","241.5","3411","All","12"
"5","All_M","400.652173913043","283.74231011734","309","18430","Org","46"
"6","Feb","361.666666666667","12.4230967690561","355","1085","Org","3"
"7","Mar","491.677419354839","298.621654394182","413","15242","Org","31"
"8","Apr","175.25","83.2816961228031","158.5","2103","Org","12"
"9","All_M","1316.54347826087","2418.7582002757","438","60561","RT","46"
"10","Feb","650","78.1728853247723","644","1950","RT","3"
"11","Mar","1848.48387096774","2802.35845757305","913","57303","RT","31"
"12","Apr","109","71.6316334386625","93","1308","RT","12"
