"Var1","Freq","Percentage"
"English",58982,0.757607285525285
"Tagalog",6849,0.0879734884975531
"Portuguese",6351,0.0815768178490232
"Spanish; Castilian",1209,0.0155292666949251
"Chinese",658,0.00845182587697327
"French",641,0.00823346563395116
"Turkish",479,0.00615262096515227
"Sinhala; Sinhalese",467,0.00599848432301902
"Bahasa",447,0.0057415899194636
"Italian",327,0.00420022349813109
"German",262,0.00336531668657598
"Greek, Modern (1453-)",133,0.00170834778364353
"Japanese",133,0.00170834778364353
"Hindi",123,0.00157990058186582
"Russian",68,0.000873440972088423
"Dutch; Flemish",67,0.000860596251910652
"Thai",60,0.000770683210666256
"Catalan; Valencian",59,0.000757838490488485
"Vietnamese",59,0.000757838490488485
"Slovenian",52,0.000667925449244088
"Arabic",51,0.000655080729066317
"Polish",45,0.000578012407999692
"Tamil",45,0.000578012407999692
"Romanian; Moldavian; Moldovan",31,0.000398186325510899
"Czech",29,0.000372496885155357
"Korean",27,0.000346807444799815
"Estonian",26,0.000333962724622044
"Nepali",26,0.000333962724622044
"Haitian; Haitian Creole",25,0.000321118004444273
"Persian",23,0.000295428564088731
"Danish",18,0.000231204963199877
"Finnish",14,0.000179826082488793
"Swedish",12,0.000154136642133251
"Welsh",12,0.000154136642133251
"Norwegian",11,0.00014129192195548
"Bengali",7,8.99130412443965e-05
"Marathi",5,6.42236008888546e-05
"Basque",4,5.13788807110837e-05
"Latvian",4,5.13788807110837e-05
"Ukrainian",3,3.85341605333128e-05
"Hungarian",2,2.56894403555419e-05
"Kannada",2,2.56894403555419e-05
"Lithuanian",2,2.56894403555419e-05
"Bulgarian",1,1.28447201777709e-05
"Malayalam",1,1.28447201777709e-05
"Urdu",1,1.28447201777709e-05
