"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1389.79310344828","2414.32618734482","536","80608","All","58"
"2","Feb","1011.66666666667","67.8920712111019","999","3035","All","3"
"3","Mar","2340.16129032258","3000.089410854","1303","72545","All","31"
"4","Apr","209.5","125.749578614559","170.5","5028","All","24"
"5","All_M","334.931034482759","283.654525606691","256","19426","Org","58"
"6","Feb","361.666666666667","12.4230967690561","355","1085","Org","3"
"7","Mar","491.677419354839","298.621654394182","413","15242","Org","31"
"8","Apr","129.125","75.2718623448999","99.5","3099","Org","24"
"9","All_M","1054.86206896552","2210.41906361251","247.5","61182","RT","58"
"10","Feb","650","78.1728853247723","644","1950","RT","3"
"11","Mar","1848.48387096774","2802.35845757305","913","57303","RT","31"
"12","Apr","80.375","60.0853107274764","68.5","1929","RT","24"
