"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1592.94","2544.64305190977","688","79647","All","50"
"2","Feb","1011.66666666667","67.8920712111019","999","3035","All","3"
"3","Mar","2340.16129032258","3000.089410854","1303","72545","All","31"
"4","Apr","254.1875","132.059188119065","212","4067","All","16"
"5","All_M","376.66","284.066649983156","291.5","18833","Org","50"
"6","Feb","361.666666666667","12.4230967690561","355","1085","Org","3"
"7","Mar","491.677419354839","298.621654394182","413","15242","Org","31"
"8","Apr","156.625","78.7501322750212","133.5","2506","Org","16"
"9","All_M","1216.28","2343.24038712138","381.5","60814","RT","50"
"10","Feb","650","78.1728853247723","644","1950","RT","3"
"11","Mar","1848.48387096774","2802.35845757305","913","57303","RT","31"
"12","Apr","97.5625","64.6920590180897","74","1561","RT","16"
