"V1","V2"
"Date of First Tweet:","2020-01-22"
"Date of Last Tweet:","2020-04-16"
"Number of Geolocated Tweets:","6075"
"Maximum Observed Retweets","449478"
"Median Observed Retweets:","66"
"25th Percentile of Observed Retweets:","3"
"Maximum Observed Likes:","2218"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
