"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike"
"93","01","2020_01_25_20",4882,22336,27218,2,182253,286,25735,0
"94","01","2020_01_25_21",4646,21218,25864,2,182240,253,224438,0
"95","01","2020_01_25_22",5363,26064,31427,2,182249,307,7056,0
"96","01","2020_01_25_23",6395,31681,38076,8,182230,429,9408,0
"97","01","2020_01_26_00",5561,34061,39622,6,182467,657,15184,0
"98","01","2020_01_26_01",5647,37205,42852,3,182667,840,61854,0
"99","01","2020_01_26_02",5594,39596,45190,3,182874,1032,128360,0
"100","01","2020_01_26_03",5319,42993,48312,2,187604,1203,32162,0
"101","01","2020_01_26_04",5114,41754,46868,2,183363,1468,37097,0
"102","01","2020_01_26_05",4938,40048,44986,4,183561,1878,5028,0
"103","01","2020_01_26_06",4651,38284,42935,6,183766,2262,12257,0
"104","01","2020_01_26_07",4650,38892,43542,15,183864,2323,9325,0
"105","01","2020_01_26_08",5479,40333,45812,1,184026,2000,13585,0
"106","01","2020_01_26_09",4734,39170,43904,4,184154,2261,10453,0
"107","01","2020_01_26_10",4660,39619,44279,3,556311,2414,3992,0
"108","01","2020_01_26_11",4811,42228,47039,6,184389,2589,187666,0
"109","01","2020_01_26_12",5184,43006,48190,5,184445,2243,33896,0
"110","01","2020_01_26_13",5854,48804,54658,5,184680,1514,9137,0
"111","01","2020_01_26_14",6588,53649,60237,2,184830,1524,18322,0
"112","01","2020_01_26_15",7129,56317,63446,4,185034,1846,12254,0
"113","01","2020_01_26_16",7360,53486,60846,8,185154,1374,118568,0
"114","01","2020_01_26_17",7094,45055,52149,3,185335,819,12783,0
"115","01","2020_01_26_18",6820,37534,44354,2,185446,525,32832,0
"116","01","2020_01_26_19",7373,36690,44063,5,185529,343,41643,0
"117","01","2020_01_26_20",7016,37595,44611,2,517774,330,97660,0
"118","01","2020_01_26_21",6505,37110,43615,4,517815,468,4948,0
"119","01","2020_01_26_22",5591,36464,42055,5,674151,738,15658,0
"120","01","2020_01_26_23",5466,38702,44168,5,517795,1167,5088,0
"121","01","2020_01_27_00",5610,37227,42837,4,187081,852,30412,0
"122","01","2020_01_27_01",4946,37843,42789,5,187193,1407,28155,0
"123","01","2020_01_27_02",5247,38928,44175,6,182195,1655,6139,0
"124","01","2020_01_27_03",5499,41433,46932,3,187366,1369.5,19162,0
"125","01","2020_01_27_04",5028,37743,42771,6,187412,1074,22596,0
"126","01","2020_01_27_05",4716,32379,37095,4,187475,758,4680,0
"127","01","2020_01_27_06",4315,29237,33552,8,187530,616,1958,0
"128","01","2020_01_27_07",4166,25563,29729,11,187553,463,7982,0
"129","01","2020_01_27_08",4597,24761,29358,4,187628,400,2245,0
"130","01","2020_01_27_09",4017,25182,29199,2,187667,406,1369,0
"131","01","2020_01_27_10",4234,25102,29336,4,501323,467,1167,0
"132","01","2020_01_27_11",4627,28036,32663,5,201184,565,10596,0
"133","01","2020_01_27_12",5777,31109,36886,9,187785,371.5,4467,0
"134","01","2020_01_27_13",6715,33735,40450,0,187823,348,14178,0
"135","01","2020_01_27_14",7393,36644,44037,4,187860,332,41727,0
"136","01","2020_01_27_15",7887,37885,45772,3,187909,330,14748,0
"137","01","2020_01_27_16",8224,34392,42616,4,182242,223,20782,0
"138","01","2020_01_27_17",7902,31465,39367,11,182194,197,6039,0
"139","01","2020_01_27_18",6872,28013,34885,3,408987,211,3213,0
"140","01","2020_01_27_19",6617,25652,32269,1,187977,151,7168,0
"141","01","2020_01_27_20",6029,22926,28955,9,188001,128,1849,0
"142","01","2020_01_27_21",6338,22571,28909,4,182230,91,3514,0
"143","01","2020_01_27_22",6175,20742,26917,9,517804,77,20075,0
"144","01","2020_01_27_23",6463,23123,29586,9,188054,97,11941,0
"145","01","2020_01_28_00",6048,21875,27923,7,188067,87,4394,0
"146","01","2020_01_28_01",6363,24644,31007,9,188083,96,114849,0
"147","01","2020_01_28_02",6629,27216,33845,5,182248,123,40773,0
"148","01","2020_01_28_03",6598,29155,35753,4,182228,194,5089,0
"149","01","2020_01_28_04",6178,27303,33481,7,188107,168,48732,0
"150","01","2020_01_28_05",5577,24568,30145,14,182228,147,7768,0
"151","01","2020_01_28_06",5649,23321,28970,9,182247,110,3425,0
"152","01","2020_01_28_07",5528,21570,27098,13,197836,101,17717,0
"153","01","2020_01_28_08",6445,21264,27709,11,188169,95,2964,0
"154","01","2020_01_28_09",6129,24745,30874,2,182244,131,14670,0
"155","01","2020_01_28_10",5953,24981,30934,7,188201,141,4974,0
"156","01","2020_01_28_11",6244,26607,32851,4,188208,146,35603,0
"157","01","2020_01_28_12",6848,26498,33346,5,182177,98,3435,0
"158","01","2020_01_28_13",7254,27255,34509,4,182231,93,16836,0
"159","01","2020_01_28_14",7692,27341,35033,8,188246,86,11155,0
"160","01","2020_01_28_15",7869,26270,34139,5,188274,70,10078,0
"161","01","2020_01_28_16",8822,26428,35250,6,188295,52,3113,0
"162","01","2020_01_28_17",8729,25800,34529,5,188303,48,9023,0
"163","01","2020_01_28_18",8242,24991,33233,5,182204,52,20455,0
"164","01","2020_01_28_19",7752,22700,30452,4,188306,51,24848,0
"165","01","2020_01_28_20",7501,20625,28126,7,188309,41,23824,0
"166","01","2020_01_28_21",7143,20146,27289,13,188305,39,1713,0
"167","01","2020_01_28_22",7144,21371,28515,7,182208,51,3255,0
"168","01","2020_01_28_23",9763,31218,40981,8,182253,92,14036,0
"169","01","2020_01_29_00",10122,34172,44294,22,182196,102,109066,0
"170","01","2020_01_29_01",16839,54734,71573,11,188639,128,6398,0
"171","01","2020_01_29_02",15136,53389,68525,18,213669,154,13091,0
"172","01","2020_01_29_03",15391,52878,68269,9,188625,158,181986,0
"173","01","2020_01_29_04",13599,49019,62618,17,188668,187,22612,0
"174","01","2020_01_29_05",15488,55011,70499,22,256422,214,55113,0
"175","01","2020_01_29_06",13717,47403,61120,22,188676,168,7466,0
"176","01","2020_01_29_07",15831,51937,67768,17,188692,129,9754,0
"177","01","2020_01_29_08",16417,48424,64841,15,501345,91,16953,0
"178","01","2020_01_29_09",13865,45338,59203,10,188654,112,38840,0
"179","01","2020_01_29_10",15765,49950,65715,18,494260,110,9952,0
"180","01","2020_01_29_11",15054,48110,63164,18,188689,97,33906,0
"181","01","2020_01_29_12",16196,54469,70665,16,213634,143,70880,0
"182","01","2020_01_29_13",17055,58539,75594,7,494356,166,10222,0
"183","01","2020_01_29_14",17673,66480,84153,16,188632,280,21598,0
"184","01","2020_01_29_15",17758,65516,83274,16,188668,254,6923,0
"185","01","2020_01_29_16",20503,67812,88315,11,188625,184,6844,0
"186","01","2020_01_29_17",17165,56545,73710,20,188686,139,75796,0
"187","01","2020_01_29_18",16582,53853,70435,8,188643,150,6793,0
"188","01","2020_01_29_19",17247,52844,70091,13,188643,120,33458,0
"189","01","2020_01_29_20",17254,51302,68556,16,188638,113,6103,0
"190","01","2020_01_29_21",13829,44519,58348,20,188695,123,4221,0
"191","01","2020_01_29_22",16219,53371,69590,28,188654,163,259175,0
"192","01","2020_01_29_23",15028,52417,67445,9,494348,230,135883,0
"193","01","2020_01_30_00",15003,56107,71110,16,188623,311,71971,0
"194","01","2020_01_30_01",14877,53590,68467,14,188681,201,23838,0
"195","01","2020_01_30_02",11898,45114,57012,19,188690,203,31209,0
"196","01","2020_01_30_03",14235,50136,64371,20,188681,228,26933,0
"197","01","2020_01_30_04",13318,50019,63337,17,636108,303,19313,0
"198","01","2020_01_30_05",11850,44191,56041,9,213678,247,5037,0
"199","01","2020_01_30_06",12384,45003,57387,22,188686,230,8684,0
"200","01","2020_01_30_07",12424,42763,55187,21,188632,153,35674,0
"201","01","2020_01_30_08",20719,66189,86908,17,188640,405,34738,0
"202","01","2020_01_30_09",16372,63508,79880,15,188661,571,78438,0
"203","01","2020_01_30_10",17685,71049,88734,17,188640,637,71615,0
"204","01","2020_01_30_11",16241,70139,86380,14,188682,737,31241,0
"205","01","2020_01_30_12",17864,72133,89997,17,213693,569,33303,0
"206","01","2020_01_30_13",20455,78538,98993,13,188663,425,22389,0
"207","01","2020_01_30_14",20280,75458,95738,17,287432,368,19127,0
"208","01","2020_01_30_15",22519,72447,94966,22,188639,204,12671,0
"209","01","2020_01_30_16",18642,62769,81411,21,188667,194,17152,0
"210","01","2020_01_30_17",20204,60731,80935,10,188632,110,6418,0
"211","01","2020_01_30_18",22583,60583,83166,14,188631,70,5755,0
"212","01","2020_01_30_19",22976,67116,90092,12,213641,110,25833,0
"213","01","2020_01_30_20",26780,80977,107757,22,188690,127,50913,0
"214","01","2020_01_30_21",22920,70842,93762,12,213652,134,191950,0
"215","01","2020_01_30_22",18758,68350,87108,13,494275,236,134326,0
"216","01","2020_01_30_23",20332,71601,91933,10,188639,217,23087,0
"217","01","2020_01_31_00",16304,62064,78368,12,188664,254,24930,0
"218","01","2020_01_31_01",18093,64942,83035,16,188655,240,24035,0
"219","01","2020_01_31_02",17134,65189,82323,14,188653,209,64982,0
"220","01","2020_01_31_03",17005,62628,79633,14,188638,216,60492,0
"221","01","2020_01_31_04",14663,55369,70032,10,188640,251,6839,0
"222","01","2020_01_31_05",14708,53590,68298,20,495029,197,19751,0
"223","01","2020_01_31_06",14985,53099,68084,22,188820,168,17062,0
"224","01","2020_01_31_07",12378,43192,55570,12,188943,135,17236,0
"225","01","2020_01_31_08",16732,49219,65951,24,189066,114,62824,0
"226","01","2020_01_31_09",17078,50880,67958,11,189171,129,16769,0
"227","01","2020_01_31_10",16712,53729,70441,13,189285,167,12848,0
"228","01","2020_01_31_11",18539,60782,79321,12,189379,181,11668,0
"229","01","2020_01_31_12",16633,57750,74383,15,189501,193,78446,0
"230","01","2020_01_31_13",19438,68204,87642,19,189636,204,12344,0
"231","01","2020_01_31_14",19518,68026,87544,17,495017,195,30040,0
"232","01","2020_01_31_15",17789,60490,78279,13,189914,186,13537,0
"233","01","2020_01_31_16",20626,64873,85499,14,189954,131,13476,0
"234","01","2020_01_31_17",18119,55260,73379,18,190164,95,24154,0
"235","01","2020_01_31_18",20063,56018,76081,17,213645,68,6985,0
"236","01","2020_01_31_19",18488,49614,68102,19,190310,66,8256,0
"237","01","2020_01_31_20",19822,49632,69454,19,190335,52,41775,0
"238","01","2020_01_31_21",19673,57147,76820,11,190408,72,24921,0
"239","01","2020_01_31_22",18510,58266,76776,11,190482,123,19107,0
"240","01","2020_01_31_23",17725,52308,70033,13,190517,105,54940,0
"241","02","2020_02_01_00",16919,53926,70845,18,190613,124,13991,0
"242","02","2020_02_01_01",14564,50752,65316,15,190638,171,20998,0
"243","02","2020_02_01_02",10226,37028,47254,10,190718,188,20076,0
"244","02","2020_02_01_03",8235,26151,34386,13,190782,143,5608,0
"245","02","2020_02_01_04",697,2913,3610,0,190829,101,1,0
"246","02","2020_02_01_05",676,2762,3438,1,190879,131.5,1,0
"247","02","2020_02_01_06",720,2920,3640,1,152704,94,1,0
"248","02","2020_02_01_07",791,2846,3637,1,190935,69,1,0
"249","02","2020_02_01_08",776,2679,3455,1,190980,63,2,0
"250","02","2020_02_01_09",4800,14480,19280,6,191008,103,5790,0
"251","02","2020_02_01_10",8092,24931,33023,12,191033,107,10618,0
"252","02","2020_02_01_11",7869,24505,32374,7,189091,78,3365,0
"253","02","2020_02_01_12",13477,39682,53159,14,213973,78,19309,0
"254","02","2020_02_01_13",8869,24314,33183,12,287931,66,24856,0
"255","02","2020_02_01_14",12793,37263,50056,10,191150,80,22616,0
"256","02","2020_02_01_15",7352,22044,29396,6,191174,83,35732,0
"257","02","2020_02_01_16",12234,35681,47915,8,213966,83,4134,0
"258","02","2020_02_01_17",8230,23842,32072,4,191275,59,6179,0
"259","02","2020_02_01_18",13233,35149,48382,17,191314,47,9254,0
