"","V1","V2","V3","V4","total"
"154","2020",2,"28","#coronavirusoutbreak",13284
"155","2020",2,"28","#coronavirusupdates",13169
"156","2020",2,"29","#coronavirus",494200
"157","2020",2,"29","#covid19",94224
"158","2020",2,"29","#china",29935
"159","2020",2,"29","#hoax",20100
"160","2020",2,"29","#covid2019",16718
"161","2020",2,"3","#coronavirus",121382
"162","2020",2,"3","#china",24562
"163","2020",2,"3","#wuhan",17748
"164","2020",2,"3","#coronavirusoutbreak",6532
"165","2020",2,"3","#nomeatnocoronavirus",4603
"166","2020",2,"4","#coronavirus",138680
"167","2020",2,"4","#china",30050
"168","2020",2,"4","#wuhan",21922
"169","2020",2,"4","#coronavirusoutbreak",10483
"170","2020",2,"4","#wuhancoronavirus",6589
"171","2020",2,"5","#coronavirus",121671
"172","2020",2,"5","#china",25803
"173","2020",2,"5","#wuhan",18240
"174","2020",2,"5","#coronavirusoutbreak",6980
"175","2020",2,"5","#coronaviruschina",5761
"176","2020",2,"6","#coronavirus",119460
"177","2020",2,"6","#china",26490
"178","2020",2,"6","#wuhan",21092
"179","2020",2,"6","#coronavirusoutbreak",6147
"180","2020",2,"6","#wuhancoronavirus",5736
"181","2020",2,"7","#coronavirus",110231
"182","2020",2,"7","#china",23384
"183","2020",2,"7","#wuhan",19557
"184","2020",2,"7","#coronavirusoutbreak",5714
"185","2020",2,"7","#liwenliang",5616
"186","2020",2,"8","#coronavirus",108560
"187","2020",2,"8","#china",25868
"188","2020",2,"8","#wuhan",18919
"189","2020",2,"8","#coronavirusoutbreak",6333
"190","2020",2,"8","#wuhancoronavirus",4534
"191","2020",2,"9","#coronavirus",115724
"192","2020",2,"9","#china",28354
"193","2020",2,"9","#wuhan",22999
"194","2020",2,"9","#pakstandswithchina",15138
"195","2020",2,"9","#themoreyouknow",13309
"196","2020",3,"1","#coronavirus",325517
"197","2020",3,"1","#covid19",84166
"198","2020",3,"1","#china",25433
"199","2020",3,"1","#coronavirusupdate",14767
"200","2020",3,"1","#covid<u+30fc>19",11298
"201","2020",3,"10","#coronavirus",111242
"202","2020",3,"10","#covid19",64452
"203","2020",3,"10","#covid2019",12698
"204","2020",3,"10","#corona",11422
"205","2020",3,"10","#italy",6037
"206","2020",3,"11","#coronavirus",116594
"207","2020",3,"11","#covid19",87729
"208","2020",3,"11","#corona",20526
"209","2020",3,"11","#covid2019",4488
"210","2020",3,"11","#coronavirusupdate",4423
"211","2020",3,"12","#coronavirus",82743
"212","2020",3,"12","#covid19",79707
"213","2020",3,"12","#corona",6277
"214","2020",3,"12","#coronaviruspandemic",5858
"215","2020",3,"12","#covid<u+30fc>19",3898
"216","2020",3,"13","#covid19",77924
"217","2020",3,"13","#coronavirus",77669
"218","2020",3,"13","#coronaviruspandemic",6562
"219","2020",3,"13","#corona",5290
"220","2020",3,"13","#coronaoutbreak",3418
"221","2020",3,"14","#coronavirus",89705
"222","2020",3,"14","#covid19",76066
"223","2020",3,"14","#covid<u+30fc>19",28814
"224","2020",3,"14","#coronapocalypse",6773
"225","2020",3,"14","#coronaviruspandemic",6510
"226","2020",3,"15","#coronavirus",85551
"227","2020",3,"15","#covid19",57612
"228","2020",3,"15","#covid<u+30fc>19",53975
"229","2020",3,"15","#coronavirusupdates",7733
"230","2020",3,"15","#corona",5159
"231","2020",3,"16","#coronavirus",89207
"232","2020",3,"16","#covid19",61596
"233","2020",3,"16","#covid<u+30fc>19",26004
"234","2020",3,"16","#dontbeaspreader",5703
"235","2020",3,"16","#corona",5353
"236","2020",3,"17","#coronavirus",257736
"237","2020",3,"17","#covid19",170924
"238","2020",3,"17","#covid<u+30fc>19",22104
"239","2020",3,"17","#covid2019",17778
"240","2020",3,"17","#dontbeaspreader",14096
"241","2020",3,"18","#coronavirus",113894
"242","2020",3,"18","#covid19",97304
"243","2020",3,"18","#covid2019",10393
"244","2020",3,"18","#corona",6673
"245","2020",3,"18","#covid<u+30fc>19",5352
"246","2020",3,"19","#coronavirus",199209
"247","2020",3,"19","#covid19",170901
"248","2020",3,"19","#covid",13038
"249","2020",3,"19","#coronavirusupdate",12512
"250","2020",3,"19","#corona",11401
"251","2020",3,"2","#coronavirus",102450
"252","2020",3,"2","#covid19",35386
"253","2020",3,"2","#covid<u+30fc>19",9136
"254","2020",3,"2","#coronavirusupdate",6742
"255","2020",3,"2","#coronaoutbreak",5727
"256","2020",3,"20","#covid19",234359
"257","2020",3,"20","#coronavirus",194347
"258","2020",3,"20","#covid",26059
"259","2020",3,"20","#coronavirusupdate",15555
"260","2020",3,"20","#corona",12336
"261","2020",3,"21","#covid19",263363
"262","2020",3,"21","#coronavirus",186579
"263","2020",3,"21","#coronaviruspandemic",15210
"264","2020",3,"21","#covid",13837
"265","2020",3,"21","#corona",13400
"266","2020",3,"22","#coronavirus",191789
"267","2020",3,"22","#covid19",178356
"268","2020",3,"22","#covid<u+30fc>19",50181
"269","2020",3,"22","#jantacurfew",27955
"270","2020",3,"22","#stayathome",20633
"271","2020",3,"23","#coronavirus",191728
"272","2020",3,"23","#covid19",163125
"273","2020",3,"23","#covid<u+30fc>19",66077
"274","2020",3,"23","#corona",13295
"275","2020",3,"23","#covid",11062
"276","2020",3,"24","#covid19",62402
"277","2020",3,"24","#coronavirus",49166
"278","2020",3,"24","#covid<u+30fc>19",26365
"279","2020",3,"24","#stayhome",6788
"280","2020",3,"24","#stayathome",5696
"281","2020",3,"25","#coronavirus",97135
"282","2020",3,"25","#covid19",83294
"283","2020",3,"25","#covid<u+30fc>19",13231
"284","2020",3,"25","#covid2019",9768
"285","2020",3,"25","#stayhome",9081
"286","2020",3,"26","#coronavirus",184003
"287","2020",3,"26","#covid19",169897
"288","2020",3,"26","#covid2019",30400
"289","2020",3,"26","#covid",15144
"290","2020",3,"26","#covid<u+30fc>19",13921
"291","2020",3,"27","#covid19",167066
"292","2020",3,"27","#coronavirus",160140
"293","2020",3,"27","#covid2019",19145
"294","2020",3,"27","#covid",14185
"295","2020",3,"27","#stayhome",11498
"296","2020",3,"28","#covid19",217907
"297","2020",3,"28","#coronavirus",186626
"298","2020",3,"28","#coronalockdown",12728
"299","2020",3,"28","#corona",12575
"300","2020",3,"28","#covid",12290
"301","2020",3,"29","#covid19",245027
"302","2020",3,"29","#coronavirus",183834
"303","2020",3,"29","#coronaupdate",13028
"304","2020",3,"29","#covid",12055
"305","2020",3,"29","#stayhome",11790
"306","2020",3,"3","#coronavirus",373376
"307","2020",3,"3","#covid19",148582
"308","2020",3,"3","#coronaoutbreak",20612
"309","2020",3,"3","#china",20558
"310","2020",3,"3","#michaelbloomberg",15000
"311","2020",3,"30","#covid19",177116
"312","2020",3,"30","#coronavirus",137452
"313","2020",3,"30","#stayhome",12254
"314","2020",3,"30","#lockdown",11610
"315","2020",3,"30","#corona",9104
"316","2020",3,"31","#covid19",90794
"317","2020",3,"31","#coronavirus",50828
"318","2020",3,"31","#stayathome",9398
"319","2020",3,"31","#stayhome",6742
"320","2020",3,"31","#corona",6240
"321","2020",3,"4","#coronavirus",365599
"322","2020",3,"4","#covid19",151310
"323","2020",3,"4","#china",25306
"324","2020",3,"4","#coronaoutbreak",15147
