"","V4","total"
"195","#dontbeaspreader",19799
"196","#ourvaccineourpride",19674
"197","#worldpraisepmikpolicies",19445
"198","#wakeupmhrd",19385
"199","#cuarentenaradicalreforzada",19352
"200","#love",19117
"201","#ncov",19058
"202","#taatiprokeshindarikerumunan",18989
"203","#hcq",18848
"204","#polriadaptasikebiasaanbaru",18771
"205","#covid20",18610
"206","#hbdmaheshbabu",18592
"207","#nnevvy",18571
"208","#polrikawaldistribusivaksin",18531
"209","#army",18488
"210","#electionday",18227
"211","#donateplasmasavelives",18164
"212","#sarsmustend",18113
"213","#nobelprize",17975
"214","#wujudkepedulianpolri",17931
"215","#opsketupatcegahcovid19",17802
"216","#america",17641
"217","#longweekendtaati3m",17495
"218","#sembakopolripeduli",17453
"219","#amitshah",17153
"220","#studentsinscforjustice",17139
"221","#chinavirus",17112
"222","#prokesuntukkitasemua",16970
"223","#polriajakpakaimasker",16963
"224","#tnipolrijaganataru",16957
"225","#carelessaku",16872
"226","#vote",16661
"227","#dirumahaja",16641
"228","#minneapolisriot",16472
"229","#f„≥rmulaperfectaplan7m„°s7",16206
"230","#wearmaskprotectlife",16126
"231","#cuid√©monosm√°s",16091
"232","#heels",15795
"233","#couvrefeu",15711
"234","#thanksgiving",15647
"235","#jaganegarakita",15549
"236","#worldwar3",15526
"237","#maklumatkapolritaatprokes",15519
"238","#pdmspreadingcovid",15473
"239","#leerdesbloquea",15313
"240","#cuarentenaesprevenir",15265
"241","#patuhiprokespadapilkada",15149
"242","#pakstandswithchina",15138
"243","#reconfinement",15077
"244","#michaelbloomberg",15000
"245","#ipoh",14932
"246","#flexibilizaci√≥nsegurayvigilada",14885
"247","#opini√≥n",14447
"248","#unite2fightcorona",14383
"249","#cuarentenaradicalysegura",14081
"250","#apoyosedomex",14035
"251","#promoteallcollegestudents",14011
"252","#republican",14011
"253","#liburpanjangterapkan3m",13941
"254","#coronarvirus",13870
"255","#bingo",13724
"256","#envideo",13615
"257","#beirut",13537
"258","#nationallockdown",13521
"259","#juventudconcienteysolidaria",13519
"260","#diputadosporlapatria",13481
"261","#reducemedicosfees",13352
"262","#themoreyouknow",13309
"263","#indonesiamaju",13257
"264","#hearthevoiceofmyanmar",13177
"265","#coronaupdate",13028
"266","#retweet",12802
"267","#taatprokessaatpilkada",12752
"268","#coronalockdown",12728
"269","#mutation",12686
"270","#missguidedcybermon",12411
"271","#paris",12176
"272","#covid19pandemic",11957
"273","#pfizer",11942
"274","#cov",11865
"275","#christmas",11854
"276","#notimippci",11743
"277","#saludalserviciodelpueblo",11704
"278","#coronarivus",11648
"279","#hongkong",11409
"280","#russianvaccine",11363
"281","#worldchildrensday",11279
"282","#txts",11230
"283","#protegetusalud",11129
"284","#pandemic",10816
"285","#fox35",10659
"286","#respectourvotes",10525
"287","#coronavaccine",10496
"288","#solidaridadycooperaci√≥n",10449
"289","#antrabajaconelpueblo",10283
"290","#graciasportulucha",10192
"291","#venezuelaunidayenpaz",10053
"292","#crookedkelly",9880
"293","#alianzadelospueblos",9853
"294","#solobrathukesobetter",9711
"295","#humanrightsday",9542
"296","#rapimpolri2021",9497
"297","#happynewyear2021",9402
"298","#happynewyear",9244
"299","#tundabalikkejakarta",9029
"300","#americanrescueplan",9002
