"Var1","Freq","Percentage"
"English",10665045,0.598314527318371
"Spanish; Castilian",2515834,0.141139585488996
"Portuguese",1770730,0.0993388666394243
"Bahasa",1149162,0.0644685811304344
"French",565993,0.0317524993340869
"Italian",260856,0.0146341561932613
"Tagalog",149967,0.00841322607812289
"Hindi",124486,0.0069837288307508
"German",110043,0.00617346907862981
"Turkish",94484,0.0053006011506889
"Catalan; Valencian",82040,0.00460248632998727
"Japanese",69619,0.0039056618211529
"Dutch; Flemish",62350,0.00349786717058394
"Thai",38961,0.00218573220261621
"Lithuanian",21321,0.0011961191009466
"Korean",13892,0.000779348367822809
"Chinese",13678,0.000767342857405728
"Estonian",13234,0.000742434228316085
"Finnish",10643,0.000597077791443863
"Haitian; Haitian Creole",10475,0.000587652904761296
"Urdu",9679,0.000542996894051034
"Tamil",8348,0.000468327107298071
"Swedish",6908,0.000387542364304633
"Arabic",6862,0.00038496174057012
"Czech",5899,0.000330936943693259
"Danish",5497,0.000308384536274257
"Slovenian",5190,0.000291161677872184
"Russian",4904,0.000275116930305431
"Romanian; Moldavian; Moldovan",4679,0.000262494314212707
"Vietnamese",3303,0.000185300004241199
"Marathi",2820,0.000158203455028817
"Hungarian",2399,0.000134585137806429
"Persian",1793,0.000100588225130024
"Norwegian",1767,9.91296117148649e-05
"Nepali",1597,8.95925240003617e-05
"Polish",1594,8.94242224524587e-05
"Icelandic",1086,6.09251603408847e-05
"Ukrainian",1048,5.87933407341134e-05
"Gujarati",978,5.48663046163768e-05
"Telugu",874,4.90318509557396e-05
"Kannada",696,3.90459591134952e-05
"Malayalam",610,3.42213147402759e-05
"Latvian",580,3.2538299261246e-05
"Bengali",566,3.17528920376986e-05
"Greek, Modern (1453-)",553,3.1023585330119e-05
"Oriya",407,2.28329099988398e-05
"Serbian",378,2.12059950357775e-05
"Basque",329,1.84570697533619e-05
"Panjabi; Punjabi",307,1.72228584020733e-05
"Welsh",301,1.68862553062673e-05
"Sinhala; Sinhalese",122,6.84426294805519e-06
"Bulgarian",85,4.76854385725156e-06
"Pushto; Pashto",52,2.9172268303186e-06
"Burmese",45,2.52452321854495e-06
"Amharic",35,1.96351805886829e-06
"Uighur; Uyghur",13,7.29306707579651e-07
"Tibetan",9,5.04904643708989e-07
"Central Khmer",6,3.36603095805993e-07
"Armenian",5,2.80502579838327e-07
"Lao",5,2.80502579838327e-07
"Sindhi",5,2.80502579838327e-07
"Georgian",1,5.61005159676655e-08
