"V1","V2"
"Date of First Tweet:","18283"
"Date of Last Tweet:","18364"
"Number of Geolocated Tweets:","4859"
"Maximum Observed Retweets","1064693"
"Median Observed Retweets:","42"
"25th Percentile of Observed Retweets:","0"
"Maximum Observed Likes:","3697"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
"Maximum Observed Replies:","0"
"Median Observed Replies:","0"
"25th Percentile of Observed Replies:","0"
