"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1812.6511627907","975.96054964476","1992","77944","All","43"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","1005.77777777778","506.102207507974","784","9052","All","9"
"5","All_M","664.418604651163","377.398503073099","595","28570","Org","43"
"6","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"7","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"8","Apr","323.555555555556","78.0578489184642","311","2912","Org","9"
"9","All_M","1148.23255813953","651.199144334047","1166","49374","RT","43"
"10","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"11","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"12","Apr","682.222222222222","484.25194314989","466","6140","RT","9"
