"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","2129.22222222222","2829.58615965668","1025.5","76652","All","36"
"2","Feb","1011.66666666667","67.8920712111019","999","3035","All","3"
"3","Mar","2340.16129032258","3000.089410854","1303","72545","All","31"
"4","Apr","536","36.7695526217005","536","1072","All","2"
"5","All_M","470.444444444444","282.126055356663","365","16936","Org","36"
"6","Feb","361.666666666667","12.4230967690561","355","1085","Org","3"
"7","Mar","491.677419354839","298.621654394182","413","15242","Org","31"
"8","Apr","304.5","75.6604255869606","304.5","609","Org","2"
"9","All_M","1658.77777777778","2639.61053524526","662","59716","RT","36"
"10","Feb","650","78.1728853247723","644","1950","RT","3"
"11","Mar","1848.48387096774","2802.35845757305","913","57303","RT","31"
"12","Apr","231.5","112.429978208661","231.5","463","RT","2"
