Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1312190807793831936,in,NO,NO,0,0,"",Sat Oct 03 00:40:42 +0000 2020
1312190823576920064,in,NO,YES,0,1401,"",Sat Oct 03 00:40:46 +0000 2020
1312190868460191744,in,NO,NO,0,0,"",Sat Oct 03 00:40:57 +0000 2020
1312191269670547456,in,NO,YES,0,62,"",Sat Oct 03 00:42:32 +0000 2020
1312191299768913920,in,NO,YES,0,62,"",Sat Oct 03 00:42:39 +0000 2020
1312191625712394241,in,NO,YES,0,1401,"",Sat Oct 03 00:43:57 +0000 2020
1312191658352537601,in,NO,NO,1,0,"",Sat Oct 03 00:44:05 +0000 2020
1312191695807680512,in,NO,YES,0,20,"",Sat Oct 03 00:44:14 +0000 2020
1312191961978204161,in,NO,YES,0,62,"",Sat Oct 03 00:45:17 +0000 2020
1312191977572634626,in,NO,YES,0,1406,"",Sat Oct 03 00:45:21 +0000 2020
1312191979690708992,in,NO,YES,0,62,"",Sat Oct 03 00:45:21 +0000 2020
1312192019796643840,in,NO,YES,0,1407,"",Sat Oct 03 00:45:31 +0000 2020
1312192120267042816,in,NO,YES,0,62,"",Sat Oct 03 00:45:55 +0000 2020
1312192159345381382,in,NO,YES,0,62,"",Sat Oct 03 00:46:04 +0000 2020
1312192248856014848,in,NO,YES,0,1409,"",Sat Oct 03 00:46:26 +0000 2020
1312192296171958272,in,NO,YES,0,62,"",Sat Oct 03 00:46:37 +0000 2020
1312192312810717184,in,NO,YES,0,36,"",Sat Oct 03 00:46:41 +0000 2020
1312192314761125888,in,NO,YES,0,62,"",Sat Oct 03 00:46:41 +0000 2020
1312192448420933634,in,NO,YES,0,62,"",Sat Oct 03 00:47:13 +0000 2020
1312192464762015744,in,NO,YES,0,62,"",Sat Oct 03 00:47:17 +0000 2020
1312192652759031810,in,NO,YES,0,1,"",Sat Oct 03 00:48:02 +0000 2020
1312192684442832897,in,NO,NO,1,0,"",Sat Oct 03 00:48:09 +0000 2020
1312192753242005505,in,NO,NO,0,0,"",Sat Oct 03 00:48:26 +0000 2020
1312192769213919232,in,NO,NO,45,3,"",Sat Oct 03 00:48:30 +0000 2020
1312192875954753536,in,NO,NO,0,0,"",Sat Oct 03 00:48:55 +0000 2020
1312192898578874375,in,NO,YES,0,1415,"",Sat Oct 03 00:49:01 +0000 2020
1312192953314471936,in,NO,YES,0,63,"",Sat Oct 03 00:49:14 +0000 2020
1312193037137661952,in,NO,YES,0,62,"",Sat Oct 03 00:49:34 +0000 2020
1312193057480085504,in,NO,NO,0,0,"",Sat Oct 03 00:49:38 +0000 2020
