"Var1","Freq","Percentage"
"English",47338551,0.60681948303448
"Spanish; Castilian",13225336,0.169531837898403
"Portuguese",5015960,0.0642981711485345
"Bahasa",3005518,0.0385268843359997
"French",2935192,0.0376253952523164
"Italian",1033659,0.0132501820770546
"Thai",880402,0.0112856239833476
"Japanese",825433,0.0105809919348735
"Hindi",650358,0.00833675507616061
"Turkish",547528,0.00701860641883404
"Catalan; Valencian",472072,0.00605135731752864
"German",451495,0.00578758658017759
"Tagalog",428894,0.00549787075985047
"Dutch; Flemish",217645,0.00278992963652477
"Arabic",125245,0.00160548019631301
"Russian",92215,0.00118207797758796
"Tamil",86914,0.00111412595937841
"Korean",66698,0.000854982778822987
"Chinese",57988,0.000743331754751078
"Urdu",56444,0.000723539655880007
"Lithuanian",44339,0.000568369087982135
"Polish",42331,0.000542629104476234
"Romanian; Moldavian; Moldovan",40345,0.000517171132741813
"Estonian",36048,0.000462089106285212
"Greek, Modern (1453-)",33563,0.000430234594824971
"Swedish",29875,0.000382959166951584
"Finnish",26166,0.000335414546023603
"Marathi",25427,0.000325941514245286
"Czech",24628,0.000315699359453845
"Haitian; Haitian Creole",21374,0.000273987254708725
"Danish",19107,0.000244927223529503
"Persian",17672,0.000226532364798942
"Ukrainian",16913,0.000216802958682917
"Slovenian",13517,0.000173270596140069
"Telugu",12106,0.000155183386614757
"Vietnamese",10179,0.000130481719176575
"Kannada",10022,0.000128469180625566
"Gujarati",9172,0.000117573271272968
"Latvian",8677,0.000111228006414691
"Norwegian",6313,8.09245596975849e-05
"Nepali",6245,8.00528869493771e-05
"Malayalam",6121,7.84633660555865e-05
"Bengali",6066,7.7758336626889e-05
"Basque",5064,6.49139823077095e-05
"Welsh",4833,6.19528587071801e-05
"Hungarian",4068,5.21465402898425e-05
"Oriya",3486,4.46860470625346e-05
"Sinhala; Sinhalese",2579,3.3059470847469e-05
"Serbian",2559,3.28030965097608e-05
"Icelandic",2169,2.78037969244514e-05
"Panjabi; Punjabi",1778,2.27916786222566e-05
"Bulgarian",1478,1.8946063556634e-05
"Pushto; Pashto",868,1.11266462565347e-05
"Burmese",656,8.40907827682809e-06
"Amharic",547,7.01183813631854e-06
"Sindhi",264,3.38414125774789e-06
"Divehi; Dhivehi; Maldivian",231,2.9611236005294e-06
"Armenian",182,2.33300647314438e-06
"Lao",135,1.73052677953017e-06
"Central Khmer",132,1.69207062887394e-06
"Georgian",80,1.02549735083269e-06
"Uighur; Uyghur",42,5.38386109187164e-07
"Tibetan",24,3.07649205249808e-07
