"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1640","1003.34808902748","1569.5","82000","All","50"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","819.25","442.199728629496","716","13108","All","16"
"5","All_M","606.04","378.778324057106","557","30302","Org","50"
"6","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"7","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"8","Apr","290.25","69.7304333367672","259.5","4644","Org","16"
"9","All_M","1033.96","669.767000606958","990.5","51698","RT","50"
"10","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"11","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"12","Apr","529","409.755048779146","358.5","8464","RT","16"
