"V1","V2"
"Date of First Tweet:","2020-02-26"
"Date of Last Tweet:","2020-04-16"
"Number of Geolocated Tweets:","61"
"Maximum Observed Retweets","64922"
"Median Observed Retweets:","5"
"25th Percentile of Observed Retweets:","0"
"Maximum Observed Likes:","2061"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
