"Var1","Freq","Percentage"
"English",57334,0.747071470454101
"Spanish; Castilian",3132,0.0408104762525246
"German",2253,0.0293569613655613
"Turkish",1891,0.0246400416965275
"Chinese",1453,0.0189328295002932
"Tagalog",1375,0.0179164766434295
"Hindi",1274,0.0166004299954394
"French",1075,0.014007427193954
"Polish",964,0.0125610788976481
"Japanese",829,0.0108020066453841
"Romanian; Moldavian; Moldovan",781,0.010176558733468
"Arabic",748,0.00974656329402567
"Portuguese",676,0.00880839142615154
"Italian",640,0.00833930549221448
"Bahasa",532,0.00693204769040328
"Dutch; Flemish",370,0.00482116098768649
"Sinhala; Sinhalese",347,0.00452146719656004
"Russian",273,0.00355723499902274
"Catalan; Valencian",121,0.0015766499446218
"Czech",80,0.00104241318652681
"Persian",69,0.000899081373379373
"Urdu",59,0.000768779725063522
"Bengali",52,0.000677568571242426
"Korean",43,0.00056029708775816
"Thai",43,0.00056029708775816
"Tamil",37,0.000482116098768649
"Danish",33,0.000429995439442309
"Slovenian",32,0.000416965274610724
"Estonian",31,0.000403935109779139
"Greek, Modern (1453-)",24,0.000312723955958043
"Gujarati",23,0.000299693791126458
"Swedish",20,0.000260603296631702
"Finnish",17,0.000221512802136947
"Nepali",15,0.000195452472473777
"Norwegian",15,0.000195452472473777
"Basque",13,0.000169392142810607
"Lithuanian",13,0.000169392142810607
"Vietnamese",13,0.000169392142810607
"Ukrainian",9,0.000117271483484266
"Latvian",7,9.12111538210958e-05
"Haitian; Haitian Creole",6,7.81809889895107e-05
"Serbian",5,6.51508241579256e-05
"Divehi; Dhivehi; Maldivian",4,5.21206593263405e-05
"Panjabi; Punjabi",3,3.90904944947554e-05
"Icelandic",2,2.60603296631702e-05
"Pushto; Pashto",2,2.60603296631702e-05
"Amharic",1,1.30301648315851e-05
"Hungarian",1,1.30301648315851e-05
"Malayalam",1,1.30301648315851e-05
"Marathi",1,1.30301648315851e-05
"Sindhi",1,1.30301648315851e-05
"Telugu",1,1.30301648315851e-05
"Welsh",1,1.30301648315851e-05
