"V1","V2"
"Date of First Tweet:","18328"
"Date of Last Tweet:","18364"
"Number of Geolocated Tweets:","8728"
"Maximum Observed Retweets","453085"
"Median Observed Retweets:","66"
"25th Percentile of Observed Retweets:","2"
"Maximum Observed Likes:","1698"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
"Maximum Observed Replies:","0"
"Median Observed Replies:","0"
"25th Percentile of Observed Replies:","0"
