"Var1","Freq","Percentage"
"English",8756658,0.55127963314581
"Spanish; Castilian",2819092,0.177477298252859
"Bahasa",1120794,0.0705601275226262
"Thai",641364,0.0403773803468092
"Portuguese",636057,0.0400432755989585
"French",597264,0.0376010435500849
"Japanese",251319,0.0158219090116996
"Turkish",209296,0.0131763307529979
"Tagalog",166716,0.0104956862903104
"Hindi",145649,0.00916940313165754
"Italian",102609,0.0064597991468273
"Catalan; Valencian",70654,0.00444805669015326
"German",62222,0.00391721605818094
"Arabic",57936,0.00364738885839045
"Russian",41793,0.00263109849763036
"Dutch; Flemish",21389,0.00134655482415275
"Greek, Modern (1453-)",20519,0.00129178355401329
"Polish",18508,0.00116518007786334
"Korean",16595,0.00104474623903945
"Urdu",16370,0.00103058125538269
"Tamil",13320,0.000838567032479993
"Swedish",8480,0.000533862495152428
"Ukrainian",8462,0.000532729296459887
"Estonian",8046,0.000506539815565617
"Romanian; Moldavian; Moldovan",8018,0.000504777062043887
"Chinese",7076,0.000445472997134266
"Czech",6179,0.000389001928955997
"Persian",4803,0.000302375184459565
"Latvian",4654,0.000292994817504646
"Vietnamese",3782,0.000238097636399349
"Marathi",3566,0.000224499252088863
"Danish",3290,0.000207123538803241
"Finnish",3169,0.000199505925370052
"Kannada",2797,0.000176086485724215
"Haitian; Haitian Creole",2621,0.000165006320730485
"Slovenian",2526,0.000159025549853188
"Telugu",2258,0.000142153480430918
"Basque",2214,0.000139383439182485
"Gujarati",2166,0.000136361576002377
"Malayalam",2093,0.000131765825749296
"Nepali",1768,0.000111305293800648
"Welsh",1498,9.43073134125397e-05
"Norwegian",1439,9.05929399203235e-05
"Bengali",1380,8.68785664281074e-05
"Serbian",949,5.97447532900535e-05
"Sinhala; Sinhalese",847,5.33232940323239e-05
"Bulgarian",761,4.79091225012969e-05
"Oriya",640,4.02915090681078e-05
"Icelandic",408,2.56858370309187e-05
"Lithuanian",363,2.28528402995674e-05
"Hungarian",330,2.07753093632431e-05
"Pushto; Pashto",330,2.07753093632431e-05
"Amharic",300,1.88866448756755e-05
"Burmese",243,1.52981823492972e-05
"Panjabi; Punjabi",214,1.34724733446485e-05
"Sindhi",126,7.93239084778371e-06
"Central Khmer",79,4.97348315059455e-06
"Divehi; Dhivehi; Maldivian",76,4.7846167018378e-06
"Lao",70,4.40688380432429e-06
"Armenian",51,3.21072962886484e-06
"Georgian",37,2.32935286799998e-06
"Tibetan",5,3.14777414594592e-07
"Uighur; Uyghur",2,1.25910965837837e-07
