"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1863","997.299828220391","1993","72657","All","39"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","753","214.00116822111","753","3765","All","5"
"5","All_M","700.846153846154","377.515460712436","638","27333","Org","39"
"6","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"7","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"8","Apr","335","96.4857502432354","363","1675","Org","5"
"9","All_M","1162.15384615385","664.387194435259","1192","45324","RT","39"
"10","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"11","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"12","Apr","418","183.650483255558","349","2090","RT","5"
