"V1","V2"
"Date of First Tweet:","2020-03-07"
"Date of Last Tweet:","2020-05-04"
"Number of Geolocated Tweets:","18523"
"Maximum Observed Retweets","513028"
"Median Observed Retweets:","32"
"25th Percentile of Observed Retweets:","1"
"Maximum Observed Likes:","1698"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
