"Var1","Freq","Percentage"
"English",13195742,0.601400603527058
"Spanish; Castilian",3136877,0.14296427749119
"Portuguese",2192068,0.0999042735279571
"Bahasa",1295140,0.0590264630554337
"French",724321,0.0330111854678064
"Italian",316958,0.0144454728269717
"Tagalog",165862,0.00755921924679984
"Hindi",148002,0.00674524343710355
"German",140592,0.00640753006925084
"Turkish",123938,0.00564851813561803
"Catalan; Valencian",98380,0.00448370325632253
"Japanese",83208,0.00379223399626027
"Dutch; Flemish",79662,0.00363062379350646
"Thai",42101,0.00191876794871351
"Lithuanian",25020,0.00114029533922738
"Chinese",16751,0.000763432742901593
"Estonian",16310,0.000743334012102262
"Korean",15011,0.000684131628183142
"Finnish",12736,0.000580447699456432
"Haitian; Haitian Creole",12097,0.00055132504870638
"Urdu",11988,0.000546357335198155
"Tamil",10282,0.000468605782491444
"Swedish",8729,0.000397827258837562
"Arabic",8664,0.000394864860873942
"Czech",7180,0.000327231036596826
"Danish",6701,0.000305400442372609
"Slovenian",6328,0.000288400835596757
"Russian",6272,0.000285848615812715
"Romanian; Moldavian; Moldovan",5534,0.000252214005087303
"Marathi",3651,0.000166395614848888
"Vietnamese",3632,0.000165529683136445
"Hungarian",2688,0.000122506549634021
"Norwegian",2170,9.88985166316314e-05
"Persian",1960,8.93276924414735e-05
"Polish",1949,8.88263635553224e-05
"Nepali",1933,8.80971579027389e-05
"Icelandic",1295,5.90200825059736e-05
"Ukrainian",1274,5.80630000869578e-05
"Gujarati",1236,5.63311366620721e-05
"Telugu",1080,4.92213815493834e-05
"Kannada",865,3.94226805927932e-05
"Malayalam",774,3.52753234437247e-05
"Latvian",717,3.26775283063962e-05
"Greek, Modern (1453-)",685,3.12191170012293e-05
"Bengali",679,3.09456648815105e-05
"Oriya",487,2.2195197050509e-05
"Serbian",478,2.17850188709308e-05
"Panjabi; Punjabi",413,1.88226209073105e-05
"Basque",408,1.85947441408782e-05
"Welsh",372,1.69540314225654e-05
"Sinhala; Sinhalese",130,5.92479592724059e-06
"Bulgarian",108,4.92213815493834e-06
"Pushto; Pashto",63,2.87124725704736e-06
"Burmese",51,2.32434301760977e-06
"Amharic",41,1.86858948474511e-06
"Uighur; Uyghur",23,1.04823312558872e-06
"Divehi; Dhivehi; Maldivian",20,9.11507065729321e-07
"Sindhi",11,5.01328886151127e-07
"Tibetan",10,4.55753532864661e-07
"Central Khmer",9,4.10178179578195e-07
"Armenian",8,3.64602826291729e-07
"Lao",6,2.73452119718796e-07
"Georgian",4,1.82301413145864e-07
