"V1","V2"
"Date of First Tweet:","2020-01-22"
"Date of Last Tweet:","2020-05-04"
"Number of Geolocated Tweets:","10787"
"Maximum Observed Retweets","449478"
"Median Observed Retweets:","52"
"25th Percentile of Observed Retweets:","2"
"Maximum Observed Likes:","2240"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
