"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1466.98275862069","1028.51738791397","1197.5","85085","All","58"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","674.708333333333","419.792337810087","575","16193","All","24"
"5","All_M","548.551724137931","380.042757170396","464.5","31816","Org","58"
"6","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"7","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"8","Apr","256.583333333333","75.6961412299296","242","6158","Org","24"
"9","All_M","918.431034482759","687.171015055382","811.5","53269","RT","58"
"10","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"11","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"12","Apr","418.125","373.300358436334","326.5","10035","RT","24"
