Date_Created,Tweet_ID,Language
Sun Mar 01 01:10:03 +0000 2020,1233922415220023296,en
Sun Mar 01 01:11:07 +0000 2020,1233922682015498240,en
Sun Mar 01 01:11:56 +0000 2020,1233922888064847872,en
Sun Mar 01 01:12:20 +0000 2020,1233922988912676865,und
Sun Mar 01 01:13:58 +0000 2020,1233923401074393089,en
Sun Mar 01 01:14:30 +0000 2020,1233923533383720960,en
Sun Mar 01 01:18:21 +0000 2020,1233924502880489472,en
Sun Mar 01 01:18:31 +0000 2020,1233924545951617024,en
Sun Mar 01 01:19:34 +0000 2020,1233924808380993536,en
Sun Mar 01 01:23:47 +0000 2020,1233925869560877057,en
Sun Mar 01 01:24:00 +0000 2020,1233925926175563780,en
Sun Mar 01 01:24:13 +0000 2020,1233925978059165698,en
Sun Mar 01 01:25:41 +0000 2020,1233926347963031552,zh
Sun Mar 01 01:30:10 +0000 2020,1233927476214104064,en
Sun Mar 01 01:30:31 +0000 2020,1233927565280260098,en
Sun Mar 01 01:33:07 +0000 2020,1233928219453034496,en
Sun Mar 01 01:34:52 +0000 2020,1233928660786171904,en
Sun Mar 01 01:35:27 +0000 2020,1233928806240403457,en
Sun Mar 01 01:36:54 +0000 2020,1233929172965179392,en
Sun Mar 01 01:38:24 +0000 2020,1233929549152477184,en
Sun Mar 01 01:38:26 +0000 2020,1233929557649965057,en
Sun Mar 01 01:38:33 +0000 2020,1233929585072517121,en
Sun Mar 01 01:38:48 +0000 2020,1233929651434577920,en
Sun Mar 01 01:42:04 +0000 2020,1233930471785893888,en
Sun Mar 01 01:43:17 +0000 2020,1233930777647177729,en
Sun Mar 01 01:44:55 +0000 2020,1233931189234257920,en
Sun Mar 01 01:50:44 +0000 2020,1233932654665486336,en
Sun Mar 01 01:50:46 +0000 2020,1233932660902227968,zh
Sun Mar 01 01:51:26 +0000 2020,1233932830071111680,en
Sun Mar 01 01:52:01 +0000 2020,1233932976204980224,en
Sun Mar 01 01:52:26 +0000 2020,1233933081465118720,en
Sun Mar 01 01:53:17 +0000 2020,1233933294263316481,en
Sun Mar 01 01:57:26 +0000 2020,1233934339836121088,en
Sun Mar 01 01:57:35 +0000 2020,1233934378864128000,en
Sun Mar 01 01:57:51 +0000 2020,1233934444332892161,en
Sun Mar 01 01:59:07 +0000 2020,1233934761011208192,en
Sun Mar 01 02:00:13 +0000 2020,1233935038560886786,en
Sun Mar 01 02:00:19 +0000 2020,1233935066381709312,en
Sun Mar 01 02:01:22 +0000 2020,1233935327573741568,en
Sun Mar 01 02:01:22 +0000 2020,1233935328253272064,en
Sun Mar 01 02:01:41 +0000 2020,1233935408427257857,en
Sun Mar 01 02:02:55 +0000 2020,1233935720076603392,en
Sun Mar 01 02:03:03 +0000 2020,1233935754012717056,en
Sun Mar 01 02:04:54 +0000 2020,1233936220226379776,en
Sun Mar 01 02:04:59 +0000 2020,1233936240082186240,en
Sun Mar 01 02:05:25 +0000 2020,1233936349134086145,en
Sun Mar 01 02:06:11 +0000 2020,1233936541472317440,en
Sun Mar 01 02:07:51 +0000 2020,1233936960697200640,en
Sun Mar 01 02:10:39 +0000 2020,1233937666720325632,en
Sun Mar 01 02:13:53 +0000 2020,1233938477756157953,fr
Sun Mar 01 02:14:03 +0000 2020,1233938519019552770,en
Sun Mar 01 02:15:03 +0000 2020,1233938773538299905,fa
Sun Mar 01 02:16:14 +0000 2020,1233939070813736961,en
Sun Mar 01 02:16:34 +0000 2020,1233939154292989957,en
Sun Mar 01 02:19:05 +0000 2020,1233939788291428352,zh
Sun Mar 01 02:19:09 +0000 2020,1233939805706358785,en
Sun Mar 01 02:19:21 +0000 2020,1233939854590799874,en
Sun Mar 01 02:20:00 +0000 2020,1233940019724922881,en
Sun Mar 01 02:20:09 +0000 2020,1233940057406541835,en
Sun Mar 01 02:20:34 +0000 2020,1233940160544464896,en
Sun Mar 01 02:23:03 +0000 2020,1233940785558695942,de
Sun Mar 01 02:23:38 +0000 2020,1233940931658731522,en
Sun Mar 01 02:23:45 +0000 2020,1233940960373022723,en
Sun Mar 01 02:27:00 +0000 2020,1233941781068341254,en
Sun Mar 01 02:27:47 +0000 2020,1233941976007028736,en
Sun Mar 01 02:28:00 +0000 2020,1233942029777813505,en
Sun Mar 01 02:28:57 +0000 2020,1233942269020925953,en
Sun Mar 01 02:30:01 +0000 2020,1233942540992339968,en
Sun Mar 01 02:30:44 +0000 2020,1233942720227479552,en
Sun Mar 01 02:33:02 +0000 2020,1233943297439256576,en
Sun Mar 01 02:33:17 +0000 2020,1233943361842810881,en
Sun Mar 01 02:36:13 +0000 2020,1233944099100778499,en
Sun Mar 01 02:36:55 +0000 2020,1233944274766618624,en
Sun Mar 01 02:36:57 +0000 2020,1233944283239079936,en
Sun Mar 01 02:37:20 +0000 2020,1233944378646896640,en
Sun Mar 01 02:39:27 +0000 2020,1233944912778805249,en
Sun Mar 01 02:39:57 +0000 2020,1233945040331976705,en
Sun Mar 01 02:40:17 +0000 2020,1233945121768402944,zh
Sun Mar 01 02:42:08 +0000 2020,1233945589378736130,en
Sun Mar 01 02:42:09 +0000 2020,1233945591174049792,en
Sun Mar 01 02:46:35 +0000 2020,1233946707592929280,en
Sun Mar 01 02:47:02 +0000 2020,1233946820843384832,en
Sun Mar 01 02:47:43 +0000 2020,1233946993593962496,en
Sun Mar 01 02:50:44 +0000 2020,1233947753769771008,en
Sun Mar 01 02:51:40 +0000 2020,1233947988940079104,zh
Sun Mar 01 02:54:53 +0000 2020,1233948797077774336,en
Sun Mar 01 02:55:03 +0000 2020,1233948840291598337,en
Sun Mar 01 02:55:53 +0000 2020,1233949048127705088,en
Sun Mar 01 02:56:32 +0000 2020,1233949212091371520,en
Sun Mar 01 02:56:38 +0000 2020,1233949239404875777,en
Sun Mar 01 02:57:17 +0000 2020,1233949402923819009,en
Sun Mar 01 02:58:04 +0000 2020,1233949596252082176,es
Sun Mar 01 02:59:05 +0000 2020,1233949855824982016,nl
Sun Mar 01 02:59:08 +0000 2020,1233949866100842496,en
Sun Mar 01 02:59:18 +0000 2020,1233949910376108032,zh
Sun Mar 01 03:00:00 +0000 2020,1233950084590637057,en
Sun Mar 01 03:00:06 +0000 2020,1233950109617885184,zh
Sun Mar 01 03:01:13 +0000 2020,1233950389361397760,en
Sun Mar 01 03:01:41 +0000 2020,1233950509142286336,en
Sun Mar 01 03:02:48 +0000 2020,1233950790584127488,en
Sun Mar 01 03:04:45 +0000 2020,1233951281867296768,en
Sun Mar 01 03:05:02 +0000 2020,1233951350024622080,en
Sun Mar 01 03:05:09 +0000 2020,1233951379065954304,en
Sun Mar 01 03:06:51 +0000 2020,1233951806985834498,en
Sun Mar 01 03:07:09 +0000 2020,1233951882134994944,en
Sun Mar 01 03:07:13 +0000 2020,1233951902745989120,en
Sun Mar 01 03:07:21 +0000 2020,1233951935591411712,en
Sun Mar 01 03:08:24 +0000 2020,1233952200453492738,en
Sun Mar 01 03:08:30 +0000 2020,1233952223748665346,en
Sun Mar 01 03:09:54 +0000 2020,1233952573985579009,und
Sun Mar 01 03:09:58 +0000 2020,1233952593841311745,zh
Sun Mar 01 03:10:03 +0000 2020,1233952613017759746,en
Sun Mar 01 03:11:25 +0000 2020,1233952956996673536,en
Sun Mar 01 03:11:41 +0000 2020,1233953024222973953,en
Sun Mar 01 03:13:28 +0000 2020,1233953472967577600,en
Sun Mar 01 03:13:45 +0000 2020,1233953544652324866,en
Sun Mar 01 03:15:37 +0000 2020,1233954012753473536,en
Sun Mar 01 03:15:43 +0000 2020,1233954039961767936,si
Sun Mar 01 03:16:02 +0000 2020,1233954119767003137,si
Sun Mar 01 03:16:55 +0000 2020,1233954342631133184,und
Sun Mar 01 03:18:55 +0000 2020,1233954846832594946,en
Sun Mar 01 03:19:00 +0000 2020,1233954864666943488,en
Sun Mar 01 03:19:19 +0000 2020,1233954944031567874,en
Sun Mar 01 03:20:32 +0000 2020,1233955253579440128,en
Sun Mar 01 03:21:06 +0000 2020,1233955394675859456,en
Sun Mar 01 03:22:15 +0000 2020,1233955684011495431,en
Sun Mar 01 03:22:58 +0000 2020,1233955865998262272,en
Sun Mar 01 03:23:17 +0000 2020,1233955944058564608,en
Sun Mar 01 03:23:26 +0000 2020,1233955980813197312,en
Sun Mar 01 03:25:10 +0000 2020,1233956418228752385,en
Sun Mar 01 03:25:36 +0000 2020,1233956526529736704,en
Sun Mar 01 03:25:56 +0000 2020,1233956611254820866,en
Sun Mar 01 03:27:01 +0000 2020,1233956881451716608,en
Sun Mar 01 03:29:55 +0000 2020,1233957613437673477,en
Sun Mar 01 03:31:11 +0000 2020,1233957932728893440,en
Sun Mar 01 03:31:15 +0000 2020,1233957947492851712,in
Sun Mar 01 03:31:59 +0000 2020,1233958133225021440,en
Sun Mar 01 03:32:24 +0000 2020,1233958238799847430,en
Sun Mar 01 03:32:54 +0000 2020,1233958363265789954,en
Sun Mar 01 03:33:27 +0000 2020,1233958503431233537,en
Sun Mar 01 03:34:03 +0000 2020,1233958652530380800,en
Sun Mar 01 03:34:14 +0000 2020,1233958698592030721,en
Sun Mar 01 03:34:36 +0000 2020,1233958790053027840,zh
Sun Mar 01 03:34:40 +0000 2020,1233958806880583681,ja
Sun Mar 01 03:38:40 +0000 2020,1233959816520962048,en
Sun Mar 01 03:39:10 +0000 2020,1233959941590749185,zh
Sun Mar 01 03:39:44 +0000 2020,1233960083156946945,en
Sun Mar 01 03:41:11 +0000 2020,1233960448732647424,und
Sun Mar 01 03:41:36 +0000 2020,1233960551560011779,en
Sun Mar 01 03:42:42 +0000 2020,1233960829667758080,en
Sun Mar 01 03:43:04 +0000 2020,1233960923238285314,en
Sun Mar 01 03:43:07 +0000 2020,1233960935309508608,en
Sun Mar 01 03:44:13 +0000 2020,1233961210367733761,en
Sun Mar 01 03:45:01 +0000 2020,1233961411648212999,en
Sun Mar 01 03:46:54 +0000 2020,1233961885390688257,en
Sun Mar 01 03:47:56 +0000 2020,1233962149170384896,en
Sun Mar 01 03:49:45 +0000 2020,1233962605108027394,en
Sun Mar 01 03:51:42 +0000 2020,1233963093979430913,en
Sun Mar 01 03:57:03 +0000 2020,1233964443563769856,ja
Sun Mar 01 03:59:15 +0000 2020,1233964993378340868,en
Sun Mar 01 04:00:07 +0000 2020,1233965215378632704,en
Sun Mar 01 04:00:56 +0000 2020,1233965420098531328,en
Sun Mar 01 04:01:36 +0000 2020,1233965586402758657,en
Sun Mar 01 04:05:06 +0000 2020,1233966466367537152,en
Sun Mar 01 04:05:22 +0000 2020,1233966532713164805,en
Sun Mar 01 04:06:03 +0000 2020,1233966707384807424,en
Sun Mar 01 04:07:35 +0000 2020,1233967090832293888,en
Sun Mar 01 04:10:35 +0000 2020,1233967846595715072,en
Sun Mar 01 04:13:14 +0000 2020,1233968512260984832,en
Sun Mar 01 04:13:54 +0000 2020,1233968681710952448,en
Sun Mar 01 04:16:47 +0000 2020,1233969407593861121,ja
Sun Mar 01 04:16:49 +0000 2020,1233969417031012352,en
Sun Mar 01 04:17:40 +0000 2020,1233969632052219910,en
Sun Mar 01 04:18:52 +0000 2020,1233969930875351041,en
Sun Mar 01 04:18:55 +0000 2020,1233969944808828928,en
Sun Mar 01 04:20:08 +0000 2020,1233970251127123969,en
Sun Mar 01 04:26:23 +0000 2020,1233971825442463744,en
Sun Mar 01 04:27:20 +0000 2020,1233972063993573376,en
Sun Mar 01 04:29:15 +0000 2020,1233972545361260544,en
Sun Mar 01 04:29:17 +0000 2020,1233972551350657024,en
Sun Mar 01 04:29:51 +0000 2020,1233972695387295744,en
Sun Mar 01 04:30:35 +0000 2020,1233972878896291840,en
Sun Mar 01 04:30:42 +0000 2020,1233972911687397376,en
Sun Mar 01 04:31:58 +0000 2020,1233973230479663104,en
Sun Mar 01 04:32:36 +0000 2020,1233973387648786432,en
Sun Mar 01 04:34:56 +0000 2020,1233973975371440129,en
Sun Mar 01 04:36:41 +0000 2020,1233974415135608832,en
Sun Mar 01 04:36:58 +0000 2020,1233974487776931841,en
Sun Mar 01 04:37:35 +0000 2020,1233974641758261250,en
Sun Mar 01 04:37:49 +0000 2020,1233974699857571841,en
Sun Mar 01 04:38:11 +0000 2020,1233974791134044160,en
Sun Mar 01 04:38:30 +0000 2020,1233974871043919872,en
Sun Mar 01 04:38:59 +0000 2020,1233974993001709568,ja
Sun Mar 01 04:39:54 +0000 2020,1233975227043979264,en
Sun Mar 01 04:41:06 +0000 2020,1233975528945668096,en
Sun Mar 01 04:41:13 +0000 2020,1233975557701783552,en
