"Var1","Freq","Percentage"
"English",12190647,0.61928204788498
"Spanish; Castilian",3860652,0.196120228625375
"Portuguese",1118950,0.0568424011851789
"French",908899,0.0461718589702917
"Italian",378471,0.0192262392590874
"Japanese",209536,0.0106443803340075
"Catalan; Valencian",186680,0.0094833008206347
"Hindi",156269,0.00793842905474483
"German",132425,0.00672715936989796
"Turkish",81322,0.00413113879009886
"Thai",79925,0.00406017151322707
"Bahasa",70592,0.00358605727196403
"Dutch; Flemish",66408,0.00337351103972953
"Tamil",35100,0.00178307188131711
"Arabic",25068,0.00127344860173383
"Chinese",20315,0.00103199730110989
"Korean",17875,0.000908045865485565
"Tagalog",16037,0.000814675890617735
"Romanian; Moldavian; Moldovan",14578,0.000740559028086633
"Lithuanian",13199,0.000670506147051411
"Urdu",12559,0.000637994295084376
"Russian",10046,0.000510334476345062
"Marathi",9926,0.000504238504101243
"Polish",7952,0.000403959760690418
"Persian",7007,0.000355953979270342
"Czech",5511,0.000279957525297396
"Danish",4935,0.000250696858527064
"Telugu",4914,0.000249630063384395
"Finnish",4547,0.000230986548272048
"Greek, Modern (1453-)",4175,0.000212089034316209
"Swedish",3739,0.000189940335163666
"Haitian; Haitian Creole",3375,0.000171449219357414
"Estonian",3218,0.000163473655671751
"Kannada",2661,0.00013517818450669
"Gujarati",2555,0.00012979340902465
"Slovenian",1862,9.45891693165943e-05
"Bengali",1640,8.33116206655288e-05
"Welsh",1405,7.13736750213829e-05
"Malayalam",1330,6.75636923689959e-05
"Norwegian",1234,6.26869145739406e-05
"Oriya",1234,6.26869145739406e-05
"Ukrainian",1203,6.11121217442873e-05
"Basque",946,4.80565811887745e-05
"Nepali",885,4.49577952981665e-05
"Latvian",619,3.14450568243673e-05
"Panjabi; Punjabi",589,2.99210637634125e-05
"Vietnamese",463,2.35202929074023e-05
"Hungarian",405,2.05739063228897e-05
"Sinhala; Sinhalese",326,1.65607245957088e-05
"Pushto; Pashto",203,1.03123530457941e-05
"Serbian",202,1.02615532770956e-05
"Bulgarian",118,5.99437270642219e-06
"Icelandic",104,5.28317594464329e-06
"Amharic",85,4.31798033937192e-06
"Divehi; Dhivehi; Maldivian",53,2.69238774102014e-06
"Armenian",48,2.43838889752767e-06
"Burmese",31,1.57479282965329e-06
"Sindhi",30,1.52399306095479e-06
"Central Khmer",15,7.61996530477397e-07
"Lao",13,6.60396993080411e-07
"Georgian",8,4.06398149587945e-07
"Uighur; Uyghur",6,3.04798612190959e-07
"Tibetan",4,2.03199074793973e-07
