"Var1","Freq","Percentage"
"English",11287063,0.617594758982351
"Spanish; Castilian",3600733,0.197021477535369
"Portuguese",1043956,0.0571221897324555
"French",845208,0.0462472860344586
"Italian",356484,0.0195057518560022
"Japanese",189761,0.0103831615947612
"Catalan; Valencian",174863,0.00956798702549377
"Hindi",142216,0.0077816395853761
"German",123610,0.00676357420507074
"Thai",78610,0.00430130708082364
"Turkish",76941,0.00420998432903768
"Bahasa",68100,0.00372623091469393
"Dutch; Flemish",62185,0.00340257958047346
"Tamil",30854,0.00168823977447822
"Arabic",23398,0.00128026947051408
"Chinese",19377,0.0010602522237008
"Korean",17211,0.000941735099453705
"Tagalog",15343,0.000839523655273848
"Romanian; Moldavian; Moldovan",13514,0.000739446175935005
"Lithuanian",12334,0.000674880060232526
"Urdu",11469,0.000627549814399776
"Russian",9062,0.000495845881776159
"Marathi",8842,0.000483808131390951
"Polish",7552,0.000413223140495868
"Persian",6653,0.000364032515058131
"Czech",5257,0.000287647517159266
"Danish",4695,0.00025689653662978
"Telugu",4513,0.000246938034038381
"Finnish",4238,0.000231890846056871
"Greek, Modern (1453-)",3914,0.000214162522762292
"Swedish",3492,0.000191071928841574
"Haitian; Haitian Creole",3207,0.00017547757038801
"Estonian",3045,0.00016661340874072
"Kannada",2390,0.000130773742821123
"Gujarati",2239,0.000122511468693094
"Slovenian",1761,9.63567201288696e-05
"Bengali",1470,8.04340593920717e-05
"Welsh",1279,6.99831033758229e-05
"Malayalam",1228,6.71925339683429e-05
"Norwegian",1160,6.34717747583695e-05
"Oriya",1113,6.09000735397114e-05
"Basque",877,4.79868503992156e-05
"Nepali",837,4.57981685109959e-05
"Ukrainian",776,4.2460428631461e-05
"Latvian",575,3.14623021431573e-05
"Panjabi; Punjabi",556,3.0422678246253e-05
"Vietnamese",403,2.20509700238129e-05
"Hungarian",345,1.88773812858944e-05
"Sinhala; Sinhalese",307,1.67981334920857e-05
"Serbian",184,1.00679366858103e-05
"Pushto; Pashto",160,8.75472755287855e-06
"Bulgarian",104,5.69057290937106e-06
"Icelandic",98,5.36227062613811e-06
"Amharic",83,4.54151491805575e-06
"Divehi; Dhivehi; Maldivian",52,2.84528645468553e-06
"Armenian",42,2.29811598263062e-06
"Sindhi",30,1.64151141616473e-06
"Burmese",29,1.58679436895924e-06
"Central Khmer",13,7.11321613671383e-07
"Lao",12,6.56604566465892e-07
"Georgian",8,4.37736377643928e-07
"Uighur; Uyghur",6,3.28302283232946e-07
"Tibetan",3,1.64151141616473e-07
