"V1","V2"
"Date of First Tweet:","2020-01-22"
"Date of Last Tweet:","2020-04-12"
"Number of Geolocated Tweets:","5192"
"Maximum Observed Retweets","350881"
"Median Observed Retweets:","73"
"25th Percentile of Observed Retweets:","3"
"Maximum Observed Likes:","2218"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
