"V1","V2"
"Date of First Tweet:","2020-01-22"
"Date of Last Tweet:","2020-04-14"
"Number of Geolocated Tweets:","5211"
"Maximum Observed Retweets","1064693"
"Median Observed Retweets:","39"
"25th Percentile of Observed Retweets:","0"
"Maximum Observed Likes:","3697"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
