"V1","V2"
"Date of First Tweet:","2020-03-07"
"Date of Last Tweet:","2020-04-24"
"Number of Geolocated Tweets:","13737"
"Maximum Observed Retweets","453085"
"Median Observed Retweets:","40"
"25th Percentile of Observed Retweets:","1"
"Maximum Observed Likes:","1698"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
