"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","530583.255319149","275101.155359139","693337","24937413","All","47"
"2","Mar","383786.434782609","302022.434068884","283971","8827088","All","23"
"3","Apr","671263.541666667","148016.876996298","711616","16110325","All","24"
"4","All_M","112627.14893617","65244.8322014784","128950","5293476","Org","47"
"5","Mar","66272.652173913","51869.8773905422","50792","1524271","Org","23"
"6","Apr","157050.208333333","41621.1691027108","156173","3769205","Org","24"
"7","All_M","417956.106382979","214375.92876404","538526","19643937","RT","47"
"8","Mar","317513.782608696","250877.517101465","233179","7302817","RT","23"
"9","Apr","514213.333333333","109334.762828053","540066","12341120","RT","24"
