"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1652.60416666667","2580.67009061174","688","79325","All","48"
"2","Feb","1011.66666666667","67.8920712111019","999","3035","All","3"
"3","Mar","2340.16129032258","3000.089410854","1303","72545","All","31"
"4","Apr","267.5","136.338803100105","227","3745","All","14"
"5","All_M","388.270833333333","284.051893639423","299","18637","Org","48"
"6","Feb","361.666666666667","12.4230967690561","355","1085","Org","3"
"7","Mar","491.677419354839","298.621654394182","413","15242","Org","31"
"8","Apr","165","80.9368224652366","156","2310","Org","14"
"9","All_M","1264.33333333333","2380.22438896924","392","60688","RT","48"
"10","Feb","650","78.1728853247723","644","1950","RT","3"
"11","Mar","1848.48387096774","2802.35845757305","913","57303","RT","31"
"12","Apr","102.5","67.9340743775792","82.5","1435","RT","14"
