,Year,Month,Day,Sentiment,Count,Avg_Per
149,2020,3,11,neutral,345490,0.475817101
150,2020,3,11,positive,55194,0.07596601
151,2020,3,12,negative,322441,0.438690287
152,2020,3,12,neutral,354053,0.483971955
153,2020,3,12,positive,57886,0.077337758
154,2020,3,13,negative,309781,0.455552031
155,2020,3,13,neutral,322264,0.468102834
156,2020,3,13,positive,50904,0.076345135
157,2020,3,14,negative,310743,0.455523478
158,2020,3,14,neutral,312765,0.458955928
159,2020,3,14,positive,58287,0.085520594
160,2020,3,15,negative,280025,0.43386952
161,2020,3,15,neutral,302435,0.469352533
162,2020,3,15,positive,62347,0.096777947
163,2020,3,16,negative,254148,0.405730577
164,2020,3,16,neutral,310187,0.495176593
165,2020,3,16,positive,61901,0.09909283
166,2020,3,17,negative,576972,0.403662375
167,2020,3,17,neutral,736659,0.512497013
168,2020,3,17,positive,119588,0.083840612
169,2020,3,18,negative,420011,0.435243081
170,2020,3,18,neutral,428722,0.471903334
171,2020,3,18,positive,79093,0.092853585
172,2020,3,19,negative,754476,0.461250845
173,2020,3,19,neutral,734128,0.448499013
174,2020,3,19,positive,147820,0.090250143
175,2020,3,20,negative,735432,0.442166859
176,2020,3,20,neutral,781173,0.470163927
177,2020,3,20,positive,145708,0.087669214
178,2020,3,21,negative,657147,0.438951927
179,2020,3,21,neutral,693306,0.462961169
180,2020,3,21,positive,147177,0.098086903
181,2020,3,22,negative,761859,0.447978156
182,2020,3,22,neutral,777304,0.457568827
183,2020,3,22,positive,159768,0.094453018
184,2020,3,23,negative,792262,0.453637609
185,2020,3,23,neutral,802144,0.458237203
186,2020,3,23,positive,154096,0.088125187
187,2020,3,24,negative,230022,0.416173653
188,2020,3,24,neutral,261954,0.475041948
189,2020,3,24,positive,59905,0.108784399
190,2020,3,25,negative,288356,0.393821224
191,2020,3,25,neutral,356055,0.490273994
192,2020,3,25,positive,82139,0.115904781
193,2020,3,26,negative,770442,0.432476184
194,2020,3,26,neutral,846946,0.475357174
195,2020,3,26,positive,164222,0.092166642
196,2020,3,27,negative,636935,0.40870876
197,2020,3,27,neutral,742582,0.481188737
198,2020,3,27,positive,168503,0.110102503
199,2020,3,28,negative,729384,0.420494617
200,2020,3,28,neutral,822024,0.474776293
201,2020,3,28,positive,181405,0.10472909
202,2020,3,29,negative,770852,0.44280333
203,2020,3,29,neutral,800932,0.461534904
204,2020,3,29,positive,165763,0.095661765
205,2020,3,30,negative,552804,0.440430015
206,2020,3,30,neutral,566267,0.462012876
207,2020,3,30,positive,111465,0.097557108
208,2020,3,31,negative,255609,0.418264289
209,2020,3,31,neutral,279390,0.466188762
210,2020,3,31,positive,69065,0.115546949
211,2020,4,1,negative,533857,0.4453649
212,2020,4,1,neutral,543958,0.46197112
213,2020,4,1,positive,99590,0.09266398
214,2020,4,2,negative,773537,0.460280369
215,2020,4,2,neutral,774073,0.460492158
216,2020,4,2,positive,133029,0.079227473
217,2020,4,3,negative,705078,0.436333237
218,2020,4,3,neutral,762103,0.472541926
219,2020,4,3,positive,146956,0.091124838
220,2020,4,4,negative,789978,0.458034969
221,2020,4,4,neutral,762751,0.443635911
222,2020,4,4,positive,169359,0.09832912
223,2020,4,5,negative,784071,0.452513216
224,2020,4,5,neutral,770033,0.445769816
225,2020,4,5,positive,175835,0.101716967
226,2020,4,6,negative,792203,0.447993783
227,2020,4,6,neutral,810017,0.458123041
228,2020,4,6,positive,165782,0.093883176
229,2020,4,7,negative,771585,0.42177942
230,2020,4,7,neutral,884632,0.485031272
231,2020,4,7,positive,169907,0.093189308
232,2020,4,8,negative,567745,0.433000438
233,2020,4,8,neutral,596101,0.465954014
234,2020,4,8,positive,123767,0.101045548
235,2020,4,9,negative,503204,0.419677632
236,2020,4,9,neutral,541988,0.475812743
237,2020,4,9,positive,112042,0.104509625
238,2020,4,10,negative,810174,0.453490388
239,2020,4,10,neutral,808598,0.452001336
240,2020,4,10,positive,169338,0.094508276
241,2020,4,11,negative,815616,0.483416064
242,2020,4,11,neutral,714110,0.423858613
243,2020,4,11,positive,156513,0.092725324
244,2020,4,12,negative,793817,0.488129693
245,2020,4,12,neutral,674813,0.415001983
246,2020,4,12,positive,156765,0.096868324
247,2020,4,13,negative,766401,0.453417706
248,2020,4,13,neutral,781281,0.460920404
249,2020,4,13,positive,144962,0.08566189
250,2020,4,14,negative,777905,0.445513836
251,2020,4,14,neutral,818574,0.469587947
252,2020,4,14,positive,147794,0.084898217
253,2020,4,15,negative,840507,0.472878973
254,2020,4,15,neutral,797865,0.448774338
255,2020,4,15,positive,139577,0.078346689
256,2020,4,16,negative,790607,0.444776878
257,2020,4,16,neutral,827298,0.465809151
258,2020,4,16,positive,158784,0.089413971
259,2020,4,17,negative,766758,0.447854727
260,2020,4,17,neutral,805633,0.470469444
261,2020,4,17,positive,139740,0.081675829
262,2020,4,18,negative,599945,0.409684149
263,2020,4,18,neutral,717553,0.489628484
264,2020,4,18,positive,147939,0.100687367
265,2020,4,19,negative,843780,0.46922179
266,2020,4,19,neutral,798478,0.444618488
267,2020,4,19,positive,154989,0.086159722
268,2020,4,20,negative,824903,0.459401395
269,2020,4,20,neutral,828183,0.461646341
270,2020,4,20,positive,141486,0.078952264
271,2020,4,21,negative,217165,0.412373771
272,2020,4,21,neutral,244061,0.463698453
273,2020,4,21,positive,64995,0.123927776
274,2020,4,22,negative,788259,0.449854841
275,2020,4,22,neutral,807628,0.461369218
276,2020,4,22,positive,155783,0.088775941
277,2020,4,23,negative,800717,0.427106201
278,2020,4,23,neutral,897275,0.48495378
279,2020,4,23,positive,162116,0.087940019
280,2020,4,24,negative,843035,0.403251102
281,2020,4,24,neutral,1042233,0.498724186
282,2020,4,24,positive,205650,0.098024712
283,2020,4,25,negative,1080125,0.453288949
284,2020,4,25,neutral,1111303,0.469423633
285,2020,4,25,positive,182142,0.077287418
286,2020,4,26,negative,1127152,0.478205728
287,2020,4,26,neutral,1053340,0.447673952
288,2020,4,26,positive,173997,0.07412032
289,2020,4,27,negative,1075196,0.444920273
290,2020,4,27,neutral,1144061,0.473726415
291,2020,4,27,positive,195564,0.081353313
292,2020,4,28,negative,808979,0.447450095
293,2020,4,28,neutral,842917,0.469637438
294,2020,4,28,positive,135317,0.082912466
295,2020,4,29,negative,618533,0.432531912
296,2020,4,29,neutral,633801,0.467139559
297,2020,4,29,positive,123804,0.100328529
298,2020,4,30,negative,834683,0.43261111
299,2020,4,30,neutral,902590,0.47102321
300,2020,4,30,positive,184956,0.09636568
301,2020,5,1,negative,762468,0.40795376
302,2020,5,1,neutral,933330,0.498552842
303,2020,5,1,positive,174887,0.093493399
304,2020,5,2,negative,843162,0.442198288
305,2020,5,2,neutral,889655,0.469253459
306,2020,5,2,positive,167662,0.088548253
307,2020,5,3,negative,895659,0.449528295
308,2020,5,3,neutral,924878,0.466685432
309,2020,5,3,positive,165242,0.083786273
310,2020,5,4,negative,978404,0.460015531
311,2020,5,4,neutral,974167,0.461620069
312,2020,5,4,positive,164999,0.0783644
313,2020,5,5,negative,518947,0.442629632
314,2020,5,5,neutral,537830,0.459302851
315,2020,5,5,positive,115329,0.098067517
316,2020,5,6,negative,1048751,0.467136607
317,2020,5,6,neutral,989347,0.44550722
318,2020,5,6,positive,194664,0.087356173
319,2020,5,7,negative,1211408,0.473127183
320,2020,5,7,neutral,1136458,0.444729733
321,2020,5,7,positive,211138,0.082143084
322,2020,5,8,negative,1066409,0.458904002
323,2020,5,8,neutral,1049025,0.453113328
324,2020,5,8,positive,203376,0.08798267
325,2020,5,9,negative,961539,0.432550527
326,2020,5,9,neutral,1061652,0.478752839
327,2020,5,9,positive,196314,0.088696634
328,2020,5,10,negative,994443,0.434676856
329,2020,5,10,neutral,1101411,0.482055123
330,2020,5,10,positive,190712,0.083268021
331,2020,5,11,negative,1149332,0.433236757
332,2020,5,11,neutral,1274432,0.48123927
333,2020,5,11,positive,225094,0.085523973
334,2020,5,12,negative,1140513,0.446893912
335,2020,5,12,neutral,1193348,0.472915115
336,2020,5,12,positive,196789,0.080190972
337,2020,5,13,negative,1230672,0.456730765
338,2020,5,13,neutral,1254835,0.467413388
339,2020,5,13,positive,204098,0.075855846
340,2020,5,14,negative,1173714,0.453442709
341,2020,5,14,neutral,1204684,0.466618542
342,2020,5,14,positive,206032,0.079938749
343,2020,5,15,negative,1155303,0.454225248
344,2020,5,15,neutral,1183881,0.466401145
345,2020,5,15,positive,201194,0.079373607
346,2020,5,16,negative,1069624,0.461008309
347,2020,5,16,neutral,1042680,0.452657559
348,2020,5,16,positive,199783,0.086334132
349,2020,5,17,negative,1119193,0.47902785
350,2020,5,17,neutral,1030086,0.443755781
351,2020,5,17,positive,178960,0.077216368
352,2020,5,18,negative,1127237,0.449423118
353,2020,5,18,neutral,1180272,0.475307383
354,2020,5,18,positive,186919,0.075269499
355,2020,5,19,negative,1112594,0.458291531
356,2020,5,19,neutral,1127077,0.463396734
357,2020,5,19,positive,189823,0.078311735
358,2020,5,20,negative,1129791,0.468351732
359,2020,5,20,neutral,1073284,0.449234329
360,2020,5,20,positive,197151,0.08241394
361,2020,5,21,negative,1085796,0.457530823
362,2020,5,21,neutral,1101681,0.464805464
363,2020,5,21,positive,183519,0.077663713
364,2020,5,22,negative,963732,0.440515959
365,2020,5,22,neutral,1031279,0.473324392
366,2020,5,22,positive,187626,0.086159649
367,2020,5,23,negative,988809,0.461798665
368,2020,5,23,neutral,957617,0.455780021
369,2020,5,23,positive,173097,0.082421314
370,2020,5,24,negative,1078468,0.504551906
371,2020,5,24,neutral,878271,0.411594527
372,2020,5,24,positive,175900,0.083853567
373,2020,5,25,negative,986311,0.476049788
374,2020,5,25,neutral,900565,0.436373285
375,2020,5,25,positive,181828,0.087576928
376,2020,5,26,negative,943470,0.46183602
377,2020,5,26,neutral,898891,0.439183803
378,2020,5,26,positive,200750,0.098980177
379,2020,5,27,negative,984918,0.494681304
380,2020,5,27,neutral,848085,0.429601948
381,2020,5,27,positive,148590,0.075716747
382,2020,5,28,negative,1122022,0.521981088
383,2020,5,28,neutral,862335,0.401714223
384,2020,5,28,positive,163602,0.07630469
385,2020,5,29,negative,1241142,0.560003305
386,2020,5,29,neutral,825965,0.374464746
387,2020,5,29,positive,144482,0.065531948
388,2020,5,30,negative,1264988,0.604350333
389,2020,5,30,neutral,694736,0.333013567
390,2020,5,30,positive,130850,0.0626361
391,2020,5,31,negative,1320520,0.609792013
392,2020,5,31,neutral,718878,0.332407664
393,2020,5,31,positive,124468,0.057800323
394,2020,6,1,negative,1129221,0.568677319
395,2020,6,1,neutral,738845,0.370895045
396,2020,6,1,positive,119633,0.060427635
397,2020,6,2,negative,993241,0.512816052
398,2020,6,2,neutral,825337,0.42518577
399,2020,6,2,positive,120688,0.061998178
400,2020,6,3,negative,1052427,0.546613716
401,2020,6,3,neutral,735290,0.381084878
402,2020,6,3,positive,138224,0.072301406
403,2020,6,4,negative,1045597,0.550742333
404,2020,6,4,neutral,733583,0.38170827
405,2020,6,4,positive,129475,0.067549397
406,2020,6,5,negative,776734,0.534414478
407,2020,6,5,neutral,565347,0.387635033
