Date_Created,Tweet_ID,Language
Wed Apr 01 06:00:51 +0000 2020,1245229621664256000,und
Wed Apr 01 18:03:39 +0000 2020,1245411520021794817,en
Wed Apr 01 23:19:45 +0000 2020,1245491067056603136,en
Wed Apr 01 17:54:42 +0000 2020,1245409266845880327,und
Wed Apr 01 05:16:59 +0000 2020,1245218580771282944,tr
Wed Apr 01 06:00:08 +0000 2020,1245229439228743682,en
Wed Apr 01 18:07:25 +0000 2020,1245412465401376772,und
Wed Apr 01 17:00:51 +0000 2020,1245395716186374144,es
Wed Apr 01 20:14:03 +0000 2020,1245444336344600578,sv
Wed Apr 01 02:13:46 +0000 2020,1245172474494451714,es
Wed Apr 01 16:02:09 +0000 2020,1245380941238812672,en
Wed Apr 01 11:55:07 +0000 2020,1245318774338748416,en
Wed Apr 01 10:53:17 +0000 2020,1245303214079127555,en
Wed Apr 01 03:14:14 +0000 2020,1245187690208821248,en
Wed Apr 01 19:43:35 +0000 2020,1245436666921312256,en
Wed Apr 01 01:28:45 +0000 2020,1245161142890176517,en
Wed Apr 01 23:02:06 +0000 2020,1245486624793694208,tl
Wed Apr 01 09:09:56 +0000 2020,1245277203778043907,und
Wed Apr 01 14:53:56 +0000 2020,1245363777576390656,tl
Wed Apr 01 16:45:01 +0000 2020,1245391731371020288,en
Wed Apr 01 08:20:23 +0000 2020,1245264735911563264,zh
Wed Apr 01 02:22:15 +0000 2020,1245174609411846147,en
Wed Apr 01 14:47:09 +0000 2020,1245362066514305025,und
Wed Apr 01 16:36:51 +0000 2020,1245389676988563457,de
Wed Apr 01 11:45:54 +0000 2020,1245316455668703232,en
Wed Apr 01 03:02:37 +0000 2020,1245184767345205251,und
Wed Apr 01 19:59:08 +0000 2020,1245440582945779715,en
Wed Apr 01 20:51:59 +0000 2020,1245453883465322496,en
Wed Apr 01 17:21:36 +0000 2020,1245400938237636608,en
Wed Apr 01 11:56:35 +0000 2020,1245319143080910849,und
Wed Apr 01 08:27:56 +0000 2020,1245266635172335621,tr
Wed Apr 01 22:41:25 +0000 2020,1245481420635725825,tr
Wed Apr 01 12:28:33 +0000 2020,1245327190138523649,en
