"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1736.02173913043","987.68111113592","1761","79857","All","46"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","913.75","464.711469623895","753","10965","All","12"
"5","All_M","637.608695652174","378.787450118335","574","29330","Org","46"
"6","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"7","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"8","Apr","306","74.1509516888599","283.5","3672","Org","12"
"9","All_M","1098.41304347826","657.640785977909","1110.5","50527","RT","46"
"10","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"11","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"12","Apr","607.75","435.971668178731","416","7293","RT","12"
