"V1","V2"
"Date of First Tweet:","2020-01-22"
"Date of Last Tweet:","2020-05-04"
"Number of Geolocated Tweets:","8450"
"Maximum Observed Retweets","1064693"
"Median Observed Retweets:","31"
"25th Percentile of Observed Retweets:","0"
"Maximum Observed Likes:","3697"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
