"","V1","V2","V3","total"
"189","02","28","#coronavirusoutbreak",13284
"190","02","28","#coronavirusupdates",13169
"191","02","29","#coronavirus",494200
"192","02","29","#covid19",94224
"193","02","29","#china",29935
"194","02","29","#hoax",20100
"195","02","29","#covid2019",16718
"196","03","01","#coronavirus",325517
"197","03","01","#covid19",84166
"198","03","01","#china",25433
"199","03","01","#coronavirusupdate",14767
"200","03","01","#covid<u+30fc>19",11298
"201","03","02","#coronavirus",102450
"202","03","02","#covid19",35386
"203","03","02","#covid<u+30fc>19",9136
"204","03","02","#coronavirusupdate",6742
"205","03","02","#coronaoutbreak",5727
"206","03","03","#coronavirus",373376
"207","03","03","#covid19",148582
"208","03","03","#coronaoutbreak",20612
"209","03","03","#china",20558
"210","03","03","#michaelbloomberg",15000
"211","03","04","#coronavirus",365599
"212","03","04","#covid19",151310
"213","03","04","#china",25306
"214","03","04","#coronaoutbreak",15147
"215","03","04","#coronavirusoutbreak",14831
"216","03","05","#coronavirus",134814
"217","03","05","#covid19",37661
"218","03","05","#covid<u+30fc>19",24049
"219","03","05","#coronvirus",7154
"220","03","05","#china",5700
"221","03","06","#coronavirus",192463
"222","03","06","#covid<u+30fc>19",83377
"223","03","06","#covid19",40269
"224","03","06","#coronavirusoutbreak",8925
"225","03","06","#corona",5985
"226","03","07","#coronavirus",140005
"227","03","07","#covid<u+30fc>19",95925
"228","03","07","#covid19",60666
"229","03","07","#corona",5387
"230","03","07","#china",5198
"231","03","08","#coronavirus",116668
"232","03","08","#covid19",82091
"233","03","08","#covid<u+30fc>19",25409
"234","03","08","#covid2019",5082
"235","03","08","#china",4473
"236","03","09","#coronavirus",117557
"237","03","09","#covid19",65360
"238","03","09","#covid2019",13004
"239","03","09","#covid<u+30fc>19",10323
"240","03","09","#coronavirusoutbreak",6256
"241","03","10","#coronavirus",111242
"242","03","10","#covid19",64452
"243","03","10","#covid2019",12698
"244","03","10","#corona",11422
"245","03","10","#italy",6037
"246","03","11","#coronavirus",116594
"247","03","11","#covid19",87729
"248","03","11","#corona",20526
"249","03","11","#covid2019",4488
"250","03","11","#coronavirusupdate",4423
"251","03","12","#coronavirus",82743
"252","03","12","#covid19",79707
"253","03","12","#corona",6277
"254","03","12","#coronaviruspandemic",5858
"255","03","12","#covid<u+30fc>19",3898
"256","03","13","#covid19",77924
"257","03","13","#coronavirus",77669
"258","03","13","#coronaviruspandemic",6562
"259","03","13","#corona",5290
"260","03","13","#coronaoutbreak",3418
"261","03","14","#coronavirus",89705
"262","03","14","#covid19",76066
"263","03","14","#covid<u+30fc>19",28814
"264","03","14","#coronapocalypse",6773
"265","03","14","#coronaviruspandemic",6510
"266","03","15","#coronavirus",85551
"267","03","15","#covid19",57612
"268","03","15","#covid<u+30fc>19",53975
"269","03","15","#coronavirusupdates",7733
"270","03","15","#corona",5159
"271","03","16","#coronavirus",89207
"272","03","16","#covid19",61596
"273","03","16","#covid<u+30fc>19",26004
"274","03","16","#dontbeaspreader",5703
"275","03","16","#corona",5353
"276","03","17","#coronavirus",257736
"277","03","17","#covid19",170924
"278","03","17","#covid<u+30fc>19",22104
"279","03","17","#covid2019",17778
"280","03","17","#dontbeaspreader",14096
"281","03","18","#coronavirus",113894
"282","03","18","#covid19",97304
"283","03","18","#covid2019",10393
"284","03","18","#corona",6673
"285","03","18","#covid<u+30fc>19",5352
"286","03","19","#coronavirus",199209
"287","03","19","#covid19",170901
"288","03","19","#covid",13038
"289","03","19","#coronavirusupdate",12512
"290","03","19","#corona",11401
"291","03","20","#covid19",234359
"292","03","20","#coronavirus",194347
"293","03","20","#covid",26059
"294","03","20","#coronavirusupdate",15555
"295","03","20","#corona",12336
"296","03","21","#covid19",263363
"297","03","21","#coronavirus",186579
"298","03","21","#coronaviruspandemic",15210
"299","03","21","#covid",13837
"300","03","21","#corona",13400
"301","03","22","#coronavirus",191789
"302","03","22","#covid19",178356
"303","03","22","#covid<u+30fc>19",50181
"304","03","22","#jantacurfew",27955
"305","03","22","#stayathome",20633
"306","03","23","#coronavirus",191728
"307","03","23","#covid19",163125
"308","03","23","#covid<u+30fc>19",66077
"309","03","23","#corona",13295
"310","03","23","#covid",11062
"311","03","24","#covid19",62402
"312","03","24","#coronavirus",49166
"313","03","24","#covid<u+30fc>19",26365
"314","03","24","#stayhome",6788
"315","03","24","#stayathome",5696
"316","03","25","#coronavirus",97135
"317","03","25","#covid19",83294
"318","03","25","#covid<u+30fc>19",13231
"319","03","25","#covid2019",9768
"320","03","25","#stayhome",9081
"321","03","26","#coronavirus",184003
"322","03","26","#covid19",169897
"323","03","26","#covid2019",30400
"324","03","26","#covid",15144
"325","03","26","#covid<u+30fc>19",13921
"326","03","27","#covid19",167066
"327","03","27","#coronavirus",160140
"328","03","27","#covid2019",19145
"329","03","27","#covid",14185
"330","03","27","#stayhome",11498
"331","03","28","#covid19",217907
"332","03","28","#coronavirus",186626
"333","03","28","#coronalockdown",12728
"334","03","28","#corona",12575
"335","03","28","#covid",12290
"336","03","29","#covid19",245027
"337","03","29","#coronavirus",183834
"338","03","29","#coronaupdate",13028
"339","03","29","#covid",12055
"340","03","29","#stayhome",11790
"341","03","30","#covid19",177116
"342","03","30","#coronavirus",137452
"343","03","30","#stayhome",12254
"344","03","30","#lockdown",11610
"345","03","30","#corona",9104
"346","03","31","#covid19",90794
"347","03","31","#coronavirus",50828
"348","03","31","#stayathome",9398
"349","03","31","#stayhome",6742
"350","03","31","#corona",6240
"351","04","01","#covid19",130667
"352","04","01","#coronavirus",116016
"353","04","01","#covid<u+30fc>19",37128
"354","04","01","#stayathome",10144
"355","04","01","#covid",9894
"356","04","02","#coronavirus",182185
"357","04","02","#covid19",166470
"358","04","02","#covid<u+30fc>19",42470
"359","04","02","#covid",15945
"360","04","02","#corona",13706
"361","04","03","#covid19",178027
"362","04","03","#coronavirus",162811
"363","04","03","#covid<u+30fc>19",25978
"364","04","03","#covid",14282
"365","04","03","#covid19pandemic",11957
"366","04","04","#covid19",195650
"367","04","04","#coronavirus",173367
"368","04","04","#covid2019",19947
"369","04","04","#stayhome",14382
"370","04","04","#covid",11761
"371","04","05","#covid19",197307
"372","04","05","#coronavirus",184632
"373","04","05","#covid2019",19169
"374","04","05","#stayhome",16028
"375","04","05","#covid",14110
"376","04","06","#covid19",267777
"377","04","06","#coronavirus",167608
"378","04","06","#covid",14230
"379","04","06","#stayhome",13949
"380","04","06","#hydroxychloroquine",12162
"381","04","07","#covid19",239124
"382","04","07","#coronavirus",166829
"383","04","07","#worldhealthday",25956
"384","04","07","#covid",14939
"385","04","07","#stayhome",13592
"386","04","08","#covid19",162393
"387","04","08","#coronavirus",120989
"388","04","08","#covid",18376
"389","04","08","#stayhome",17770
"390","04","08","#covid<u+30fc>19",14324
"391","04","09","#covid19",130251
"392","04","09","#coronavirus",101027
"393","04","09","#covid<u+30fc>19",28149
"394","04","09","#covid",18577
"395","04","09","#stayhome",16226
"396","04","10","#covid19",177394
"397","04","10","#coronavirus",173679
"398","04","10","#covid<u+30fc>19",43403
"399","04","10","#stayhome",22717
"400","04","10","#covid",19873
"401","04","11","#covid19",196069
"402","04","11","#coronavirus",161824
"403","04","11","#covid<u+30fc>19",38359
"404","04","11","#stayhome",26280
"405","04","11","#covid",17246
"406","04","12","#covid19",210992
"407","04","12","#coronavirus",153303
"408","04","12","#china",64030
"409","04","12","#stayhome",27671
"410","04","12","#nnevvy",18571
"411","04","13","#covid19",212093
"412","04","13","#coronavirus",161866
"413","04","13","#china",38949
"414","04","13","#stayhome",19846
"415","04","13","#covid2019",17763
"416","04","14","#covid19",203460
"417","04","14","#coronavirus",165476
"418","04","14","#c",21423
"419","04","14","#stayhome",20832
"420","04","14","#covid",17169
"421","04","15","#covid19",224478
"422","04","15","#coronavirus",163044
"423","04","15","#stayhome",18518
"424","04","15","#covid",16166
"425","04","15","#china",12706
"426","04","16","#covid19",259902
"427","04","16","#coronavirus",166402
"428","04","16","#covid",20274
"429","04","16","#stayhome",18630
"430","04","16","#lockdown",15631
"431","04","17","#covid19",247528
"432","04","17","#coronavirus",150517
"433","04","17","#stayhome",19153
"434","04","17","#covid",17811
"435","04","17","#lockdown",11524
"436","04","18","#covid19",225028
"437","04","18","#coronavirus",148337
"438","04","18","#covid",32618
"439","04","18","#stayhome",25051
"440","04","18","#togetherathome",23399
"441","04","19","#covid19",193251
"442","04","19","#coronavirus",154970
"443","04","19","#togetherathome",62167
"444","04","19","#covid",38543
"445","04","19","#stayhome",21266
"446","04","20","#covid19",189642
"447","04","20","#coronavirus",159815
"448","04","20","#stayhome",28562
"449","04","20","#covid<u+30fc>19",28440
"450","04","20","#covid",22435
"451","04","21","#covid19",79539
"452","04","21","#coronavirus",36854
"453","04","21","#covid<u+30fc>19",20167
"454","04","21","#stayhome",17150
"455","04","21","#lockdown",7682
"456","04","22","#covid19",189029
"457","04","22","#coronavirus",159816
"458","04","22","#covid<u+30fc>19",31370
"459","04","22","#stayhome",21500
"460","04","22","#covid",20860
"461","04","23","#covid19",217425
"462","04","23","#coronavirus",150666
"463","04","23","#stayhome",24637
"464","04","23","#covid",16367
"465","04","23","#covid<u+30fc>19",12947
"466","04","24","#covid19",255695
"467","04","24","#coronavirus",177554
"468","04","24","#stayhome",27914
"469","04","24","#covid",22458
"470","04","24","#trump",12783
"471","04","25","#covid19",292529
"472","04","25","#coronavirus",153685
"473","04","25","#covid",30095
"474","04","25","#stayhome",27275
"475","04","25","#lockdown",19149
"476","04","26","#covid19",273662
"477","04","26","#coronavirus",172220
"478","04","26","#stayhome",31717
"479","04","26","#covid",21966
"480","04","26","#lockdown",20396
"481","04","27","#covid19",261839
"482","04","27","#coronavirus",177464
"483","04","27","#stayhome",29912
"484","04","27","#covid",23382
"485","04","27","#lockdown",21171
"486","04","28","#covid19",197878
"487","04","28","#coronavirus",137120
"488","04","28","#stayhome",23152
"489","04","28","#covid",20260
"490","04","28","#lockdown",13519
"491","04","29","#covid19",167283
"492","04","29","#coronavirus",97553
"493","04","29","#stayhome",23266
"494","04","29","#covid",11636
"495","04","29","#lockdown",9507
"496","04","30","#covid19",243256
"497","04","30","#coronavirus",153028
"498","04","30","#covid",25084
"499","04","30","#stayhome",24435
"500","04","30","#lockdown",13629
