"Var1","Freq","Percentage"
"English",38455759,0.594062847163831
"Spanish; Castilian",11203759,0.173075168545689
"Portuguese",4309676,0.0665756823292353
"Bahasa",2684019,0.0414626056134224
"French",2514900,0.0388500628561854
"Italian",880907,0.0136082119847524
"Thai",829668,0.0128166742016643
"Japanese",663834,0.0102548779776822
"Hindi",535609,0.00827406390565773
"Turkish",483823,0.00747407609100489
"Catalan; Valencian",401929,0.0062089812373151
"Tagalog",383925,0.00593085624957692
"German",371524,0.00573928615554552
"Dutch; Flemish",182799,0.00282387078613378
"Arabic",109448,0.0016907478148172
"Russian",74521,0.00115119707905117
"Tamil",67991,0.00105032193075466
"Korean",56552,0.000873612769749493
"Chinese",50334,0.000777557383515542
"Urdu",48650,0.000751543026741986
"Lithuanian",39819,0.000615122133234104
"Polish",35313,0.000545513646522914
"Romanian; Moldavian; Moldovan",33555,0.000518356141055033
"Estonian",31024,0.000479257366118055
"Greek, Modern (1453-)",30003,0.000463485003727437
"Swedish",24786,0.000382893020777531
"Finnish",22159,0.000342311242128996
"Czech",20968,0.000323912727332497
"Marathi",20756,0.000320637760802809
"Haitian; Haitian Creole",19238,0.00029718776461382
"Danish",16307,0.000251909807545356
"Persian",15747,0.000243258952561276
"Ukrainian",14322,0.000221245616217857
"Slovenian",11625,0.000179582480696312
"Telugu",9929,0.000153382748458812
"Vietnamese",8924,0.000137857553353453
"Kannada",7880,0.000121729887990274
"Latvian",7402,0.000114345765343149
"Gujarati",7285,0.000112538354569689
"Norwegian",5463,8.43921799607702e-05
"Nepali",5382,8.31408955791443e-05
"Malayalam",5069,7.83056855612565e-05
"Bengali",4711,7.27753175535765e-05
"Basque",4318,6.67042711093915e-05
"Welsh",3934,6.07722562631649e-05
"Hungarian",3610,5.57671187366613e-05
"Oriya",2738,4.22965016900218e-05
"Sinhala; Sinhalese",2330,3.5993735915906e-05
"Serbian",2145,3.31358641800937e-05
"Icelandic",1916,2.9598282409818e-05
"Panjabi; Punjabi",1400,2.1627137460201e-05
"Bulgarian",1245,1.92327043842502e-05
"Pushto; Pashto",729,1.12615594346333e-05
"Amharic",486,7.50770628975551e-06
"Burmese",433,6.68896465733361e-06
"Sindhi",211,3.25951857435887e-06
"Divehi; Dhivehi; Maldivian",204,3.15138288705787e-06
"Armenian",145,2.23995352266368e-06
"Lao",114,1.76106690747351e-06
"Central Khmer",112,1.73017099681608e-06
"Georgian",70,1.08135687301005e-06
"Uighur; Uyghur",31,4.78886615190166e-07
"Tibetan",21,3.24407061903016e-07
