"Month","M","SD","Total","Type","NoDays"
"All_M","207581.980952381","191064.930855108","65388324","All","86"
"Jan","36243.85","11699.5644243813","724877","All","10"
"Feb","47536","18136.581124975","2994768","All","29"
"Mar","193058.302816902","167347.420171617","27414279","All","31"
"Apr","380604.444444444","82262.9282487519","34254400","All","18"
"All_M","46342.5015873016","44244.7359678467","14597888","Org","86"
"Jan","6527.8","2136.06348298472","130556","Org","10"
"Feb","12314.2063492064","4600.62755292042","775795","Org","29"
"Mar","38461.3450704225","33298.8829778689","5461511","Org","31"
"Apr","91444.7333333333","21063.564691575","8230026","Org","18"
"All_M","161239.479365079","147701.902114733","50790436","RT","86"
"Jan","29716.05","9956.74776070852","594321","RT","10"
"Feb","35221.7936507936","13908.1588691107","2218973","RT","29"
"Mar","154596.957746479","134308.362252752","21952768","RT","31"
"Apr","289159.711111111","62207.4882268573","26024374","RT","18"
