"V1","V2"
"Date of First Tweet:","2020-03-07"
"Date of Last Tweet:","2020-04-14"
"Number of Geolocated Tweets:","9516"
"Maximum Observed Retweets","453085"
"Median Observed Retweets:","59"
"25th Percentile of Observed Retweets:","2"
"Maximum Observed Likes:","1698"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
