"V1","V2"
"Date of First Tweet:","2020-04-21"
"Date of Last Tweet:","2020-04-24"
"Number of Geolocated Tweets:","32"
"Maximum Observed Retweets","11850"
"Median Observed Retweets:","0"
"25th Percentile of Observed Retweets:","0"
"Maximum Observed Likes:","895"
"Median Observed Likes:","0"
"25th Percentile of Observed Likes:","0"
