"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","349","58.1492332996174","343","1396","All","4"
"2","Apr","349","58.1492332996174","343","1396","All","4"
"3","All_M","241","31.2729915422238","240","964","Org","4"
"4","Apr","241","31.2729915422238","240","964","Org","4"
"5","All_M","108","28.4604989415154","103","432","RT","4"
"6","Apr","108","28.4604989415154","103","432","RT","4"
