"Var1","Freq","Percentage"
"English",61416,0.750137407936682
"Spanish; Castilian",3280,0.0400620473171864
"German",2413,0.0294724756635277
"Turkish",1977,0.0241471547396578
"Chinese",1622,0.0198111709599013
"Tagalog",1395,0.0170385841486204
"Hindi",1274,0.0155606854518584
"French",1147,0.014009502522199
"Polish",978,0.0119453299622586
"Japanese",967,0.0118109755352803
"Romanian; Moldavian; Moldovan",806,0.00984451528586958
"Arabic",772,0.00942923796611826
"Portuguese",699,0.00853761313253453
"Italian",671,0.00819562004568051
"Bahasa",559,0.00682764769826438
"Dutch; Flemish",395,0.00482454533240507
"Sinhala; Sinhalese",354,0.00432376974094024
"Russian",308,0.00376192395539433
"Catalan; Valencian",130,0.001587825046108
"Czech",82,0.00100155118292966
"Persian",70,0.000854982717135075
"Urdu",59,0.000720628290156706
"Thai",54,0.000659558096075629
"Bengali",52,0.000635130018443199
"Korean",43,0.00052520366909726
"Tamil",43,0.00052520366909726
"Danish",36,0.000439705397383753
"Estonian",33,0.000403063280935107
"Slovenian",32,0.000390849242118891
"Greek, Modern (1453-)",24,0.000293136931589169
"Gujarati",23,0.000280922892772953
"Finnish",20,0.000244280776324307
"Swedish",20,0.000244280776324307
"Nepali",17,0.000207638659875661
"Norwegian",15,0.00018321058224323
"Lithuanian",14,0.000170996543427015
"Basque",13,0.0001587825046108
"Vietnamese",13,0.0001587825046108
"Ukrainian",9,0.000109926349345938
"Haitian; Haitian Creole",7,8.54982717135075e-05
"Latvian",7,8.54982717135075e-05
"Serbian",5,6.10701940810768e-05
"Divehi; Dhivehi; Maldivian",4,4.88561552648614e-05
"Panjabi; Punjabi",3,3.66421164486461e-05
"Icelandic",2,2.44280776324307e-05
"Pushto; Pashto",2,2.44280776324307e-05
"Welsh",2,2.44280776324307e-05
"Amharic",1,1.22140388162154e-05
"Hungarian",1,1.22140388162154e-05
"Malayalam",1,1.22140388162154e-05
"Marathi",1,1.22140388162154e-05
"Sindhi",1,1.22140388162154e-05
"Telugu",1,1.22140388162154e-05
