"Tweet_ID","Hashtag"
"1293140100809801730","#RussianVaccine"
"1293140100977655808","#Covid19"
"1293140101405405184","#Covid19HealthChampions"
"1293140101409787904","#COVID19"
"1293140101409787904","#Covid19UK"
"1293140101409787904","#epidemiology"
"1293140101409787904","#greylit"
"1293140101409787904","#greyliterature"
"1293140101409787904","#nglc"
"1293140101413900289","#Aldi"
"1293140101413900289","#Tönnies"
"1293140101480898560","#bathneslibraries"
"1293140101480898560","#healthcare"
"1293140101480898560","#HealthyLiving"
"1293140101745139712","#whby"
"1293140101799714818","#COVID19"
"1293140101904470017","#coronavirus"
"1293140101955031041","#COVID19"
"1293140101955031041","#LifeSciences"
"1293140101955031041","#OpenScience"
"1293140101955031041","#preprints"
"1293140101955031041","#SARSCoV2"
"1293140102093266947","#Iowa"
"1293140102252724225","#endHIVstigma"
"1293140102252724225","#HIV"
"1293140102252724225","#PLHIV"
"1293140102252724225","#Uganda"
"1293140102324133888","#AFP"
"1293140102324133888","#Greece"
"1293140102550392833","#TRENDING"
"1293140102575722497","#Disney"
"1293140102575722497","#Mulan"
"1293140102575722497","#Sinemata"
"1293140102575722497","#SinemaTanya"
"1293140102613331969","#WomensSportDebate"
"1293140102613331969","#WomensSportDebate"
"1293140102613331969","#WomensSportDebate"
"1293140102668050433","#COVID19"
"1293140102739365890","#coronavirus"
"1293140102831538177","#COVID19"
"1293140102881959937","#coronavirus"
"1293140102881959937","#coronavirus"
"1293140102881959937","#coronavirus"
"1293140102881959937","#coronavirus"
"1293140102881959937","#covid19"
"1293140102881959937","#covid19"
"1293140102881959937","#covid19"
"1293140102881959937","#covid19"
"1293140102881959937","#healthliteracy"
"1293140102881959937","#healthliteracy"
"1293140102881959937","#healthliteracy"
"1293140102881959937","#healthliteracy"
"1293140102894333958","#Covid"
"1293140102986838017","#coronavirus"
"1293140102986838017","#COVID19"
"1293140102986838017","#lockdown"
"1293140103221501953","#business"
"1293140103221501953","#businessowner"
"1293140103221501953","#marketingstrategy"
"1293140103221501953","#reopen"
"1293140103221501953","#startups"
"1293140103687110656","#speedbreeding"
"1293140103687110656","#speedbreeding"
"1293140103804538880","#COVID19"
"1293140104022695936","#Covid19"
"1293140104022695936","#GreaterManchester"
"1293140104022695936","#VisuallyImpaired"
"1293140104131698692","#CareSummerSeries"
"1293140104131698692","#CareSummerSeries"
"1293140104131698692","#CareSummerSeries"
"1293140104131698692","#CareSummerSeries"
"1293140104270110721","#BarnsleySuperstars"
"1293140104270110721","#KeepBarnsleyMoving"
"1293140104312127488","#sunrisers"
"1293140104404275200","#AntiHuman"
"1293140104404275200","#caiyingwen"
"1293140104404275200","#corona"
"1293140104404275200","#coronakrise"
"1293140104404275200","#coronavirus"
"1293140104404275200","#covid19"
"1293140104404275200","#Mutations"
"1293140104404275200","#nCoV2019"
"1293140104404275200","#PonyVPN"
"1293140104404275200","#Reagent"
"1293140104404275200","#SARSCoV2"
"1293140104404275200","#Taiwan"
"1293140104404275200","#tsaiingwen"
"1293140104404275200","#Vaccine"
"1293140104404275200","#VPN"
"1293140104513380354","#Justice4CoxandKingsEmployees"
"1293140104601534464","#Luas"
"1293140104802902018","#AmbulatoryCare"
"1293140104802902018","#DigitalHealth"
"1293140104802902018","#Hospital"
"1293140104802902018","#OutpatientCare"
"1293140105293684737","#Cambridge"
"1293140105293684737","#cambridgefood"
"1293140105293684737","#CommunityFoodHubs"
"1293140105293684737","#foodemergency"
"1293140105293684737","#foodpoverty"
"1293140105293684737","#foodpovertyalliance"
"1293140105352413187","#education"
"1293140105352413187","#education"
"1293140105352413187","#education"
"1293140105352413187","#educationnews"
"1293140105352413187","#educationnews"
"1293140105352413187","#educationnews"
"1293140105360740352","#FightingCOVID19"
"1293140105360740352","#ShePioneers"
"1293140105360740352","#womensmonth2020"
"1293140105595695104","#WeAreScotland"
"1293140105625047040","#Bot"
"1293140105625047040","#CoronaVirus"
"1293140105625047040","#COVID19inIndia"
"1293140105625047040","#India"
"1293140105721348096","#VaksinUtkKita"
"1293140105817927686","#coronavirus"
"1293140105817927686","#COVID19"
"1293140105830584320","#COVID19Aus"
"1293140105830584320","#isolation"
"1293140105830584320","#nanonagle"
"1293140105830584320","#presentation"
"1293140105830584320","#StaySafe"
"1293140105863946246","#PLEASEPOSTPONEJEENEET"
"1293140105863946246","#PLEASEPOSTPONEJEENEET"
"1293140105910247425","#illusions"
"1293140105910247425","#reality"
"1293140106279153664","#VaaMaskEpukaCorona"
"1293140106279153664","#WorldMaskWeek"
"1293140106644279296","#healthcare"
"1293140106644279296","#healthcareindustry"
"1293140106644279296","#nhs"
"1293140106673565697","#COVID<U+30FC>19"
"1293140106673565697","#Georgia"
"1293140106673565697","#school"
"1293140106698727424","#BetterHealth"
