"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","132889.203125","201897.334470103","73175","8504909","All","64"
"2","Jan","34341.8","12236.7823366911","39508.5","343418","All","10"
"3","Feb","49356.6551724138","21255.1486254774","41430","1431343","All","29"
"4","Mar","269205.92","273100.797494399","93899","6730148","All","25"
"5","All_M","35103.5","51735.784406221","18982","2246624","Org","64"
"6","Jan","7009.5","2228.55604720984","7326.5","70095","Org","10"
"7","Feb","15426.6206896552","6568.6109610882","12523","447372","Org","29"
"8","Mar","69166.28","70487.7922051755","24184","1729157","Org","25"
"9","All_M","97785.703125","150358.404579855","49641","6258285","RT","64"
"10","Jan","27332.3","10362.7979924986","31788","273323","RT","10"
"11","Feb","33930.0344827586","15002.9301625734","28385","983971","RT","29"
"12","Mar","200039.64","202868.043415311","70572","5000991","RT","25"
