"Var1","Freq","Percentage"
"English",10332513,0.551978816861272
"Spanish; Castilian",3404425,0.181869646192841
"Bahasa",1254266,0.0670048286132637
"Portuguese",782526,0.0418037485791872
"French",703938,0.0376054561347941
"Thai",694121,0.0370810168192929
"Japanese",301538,0.0161086260891919
"Turkish",247364,0.0132145672649114
"Tagalog",183714,0.00981428587226086
"Hindi",174714,0.00933349195971011
"Italian",122447,0.00654130802334457
"Catalan; Valencian",83787,0.00447603106120993
"German",71904,0.00384122283200543
"Arabic",65631,0.00350610947495756
"Russian",51788,0.00276659501590867
"Dutch; Flemish",25166,0.00134440662258356
"Greek, Modern (1453-)",23419,0.00125107918200288
"Polish",21524,0.00114984535263803
"Korean",20722,0.00110700127287517
"Urdu",19995,0.00106816380905024
"Tamil",15102,0.000806772185260151
"Swedish",10521,0.000562048083771822
"Ukrainian",10412,0.000556225135275374
"Romanian; Moldavian; Moldovan",9822,0.000524706423230381
"Estonian",9809,0.000524011943134474
"Chinese",8384,0.000447886240313939
"Czech",7236,0.0003865583056908
"Latvian",5591,0.000298679862785691
"Persian",5547,0.000296329314768776
"Marathi",4545,0.000242800925838127
"Vietnamese",4377,0.000233826106137179
"Finnish",3870,0.000206741382396821
"Danish",3813,0.000203696354283999
"Kannada",3423,0.0001828619514068
"Haitian; Haitian Creole",3015,0.0001610659607045
"Telugu",2925,0.000156258021578992
"Slovenian",2922,0.000156097756941475
"Basque",2631,0.000140552087102335
"Gujarati",2558,0.00013665231425609
"Malayalam",2539,0.000135637304885149
"Nepali",2159,0.00011533711746634
"Bengali",1831,9.78148504311573e-05
"Welsh",1817,9.70669487894117e-05
"Norwegian",1737,9.27932251222939e-05
"Serbian",1187,6.34113749108595e-05
"Bulgarian",938,5.01094099969555e-05
"Sinhala; Sinhalese",916,4.89341359884981e-05
"Oriya",789,4.21495996669487e-05
"Icelandic",472,2.52149696359947e-05
"Lithuanian",418,2.23302061606902e-05
"Hungarian",390,2.0834402877199e-05
"Pushto; Pashto",389,2.078098133136e-05
"Amharic",338,1.80564824935725e-05
"Burmese",329,1.75756885810217e-05
"Panjabi; Punjabi",255,1.36224941889378e-05
"Sindhi",140,7.47901641745605e-06
"Divehi; Dhivehi; Maldivian",91,4.86136067134643e-06
"Lao",91,4.86136067134643e-06
"Central Khmer",82,4.38056675879568e-06
"Armenian",67,3.57924357121111e-06
"Georgian",52,2.77792038362653e-06
"Tibetan",5,2.67107729194859e-07
"Uighur; Uyghur",2,1.06843091677944e-07
